ID,R_E,ratio,P_amb,alfa_M,T_inf,P_v,mu_L,gases,fractions,surfactant,c_L,error_code,success,elapsed_time,steps,collapse_time,T_max,n_NH3,expansion_work,dissipated_acoustic_energy,energy_efficiency,enable_heat_transfer,enable_evaporation,enable_reactions,enable_dissipated_energy,excitation_type,target_specie,p_A,logf,n,R_0,R_dot_0,T_0,c_NH3_0,c_H2_0,c_H_0,c_NH2_0,c_NH_0,c_N_0,c_NNH_0,c_N2H4_0,c_N2H3_0,c_N2H2_0,c_H2NN_0,c_N2_0,R_last,R_dot_last,T_last,c_NH3_last,c_H2_last,c_H_last,c_NH2_last,c_NH_last,c_N_last,c_NNH_last,c_N2H4_last,c_N2H3_last,c_N2H2_last,c_H2NN_last,c_N2_last
4,1.842945388189719e-05,1.0,101325.0,0.35,303.15,4245.12571625229,0.0008148611589373901,11  1,0.25  0.75,1.0,1483.0,0,True,0.8411052227020264,7632,4.105101334835799e-06,448.07938755986515,1.5345410256677431e-43,0.0,4.6695778067686e-09,1.7867710563351945e+30,True,False,True,True,sin_impulse_logf,NH3,-249502.6307894038,5.568224094662769,1.0,1.842945388189719e-05,0.0,303.15,0.0,3.247393995592708e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824646651975693e-05,1.8429454092158683e-05,1.5114895190166998e-22,303.15,5.852649033674713e-36,3.247393992941234e-05,8.306107554751295e-23,-4.456426862156013e-46,-7.801628477350657e-54,-5.698224051341544e-62,3.9316740731486526e-33,-8.734921295814197e-50,-3.994582534257737e-32,-8.690073426447903e-29,-8.014494718295281e-30,1.082464664313757e-05
1,0.0003178641040361773,1.0,101325.0,0.35,303.15,4245.12571625229,0.0008148611589373901,11  1,0.25  0.75,1.0,1483.0,0,True,1.0375943183898926,5813,4.861764806488027e-05,303.4681854070106,-3.219712635772789e-45,0.0,7.411159173701269e-11,1e+30,True,False,True,True,sin_impulse_logf,NH3,-242179.32326941576,5.789511025999764,1.0,0.0003178641040361773,0.0,303.15,0.0,3.028467037210094e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0094890124033647e-05,0.0003178641040260448,-6.279457242475681e-21,303.15,-2.3933380397049007e-41,3.028467037210516e-05,3.4969123200037e-20,-3.135206454932064e-43,-1.8754715403926258e-49,-4.0744037354314345e-55,1.5436632654464567e-30,-2.7104577468849128e-48,-7.913483407168507e-27,-4.9387264743369325e-26,-8.357673305916334e-27,1.009489012403512e-05
3,1.431033511040548e-05,1.0,101325.0,0.35,303.15,4245.12571625229,0.0008148611589373901,11  1,0.25  0.75,1.0,1483.0,0,True,1.2701127529144287,7846,3.0844247465586634e-06,339.73613634979813,3.7694154835779177e-44,0.0,7.336420531056091e-10,1.1428257141557924e+30,True,False,True,True,sin_impulse_logf,NH3,-192868.8901227627,5.763896985534727,1.0,1.431033511040548e-05,0.0,303.15,0.0,3.31428892281941e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1047629742731367e-05,1.4310334992003287e-05,1.4414922895940525e-21,303.15,3.070690178438762e-36,3.3142889252957574e-05,2.3796902657446434e-22,-2.904772595530434e-45,-2.662849968222109e-53,3.6439912034453655e-60,1.149623876180615e-32,-3.694014322724894e-52,-1.0718622926765596e-30,-3.655090727513551e-28,-5.615664614461782e-29,1.1047629750985835e-05
7,4.925401857784715e-05,1.0,101325.0,0.35,303.15,4245.12571625229,0.0008148611589373901,11  1,0.25  0.75,1.0,1483.0,0,True,0.47901010513305664,3413,9.325280937569847e-06,338.23714387087995,-6.013243220519558e-43,0.0,8.758761078894734e-09,1e+30,True,False,True,True,sin_impulse_logf,NH3,-266407.52991418506,5.468877013704134,1.0,4.925401857784715e-05,0.0,303.15,0.0,3.1019506160875605e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0339835386958535e-05,4.9254018470950606e-05,-1.8005011281144602e-21,303.15,-1.2014208213591062e-36,3.10195061627629e-05,-1.947966861018886e-24,-4.071627644379488e-46,3.2906506501184035e-53,-1.074894546390104e-60,-8.807677800248886e-35,9.024176139984699e-53,1.3638673951079108e-31,-1.2510456534698495e-29,-7.851463718482468e-30,1.0339835387587594e-05
2,0.00029550748164677506,1.0,101325.0,0.35,303.15,4245.12571625229,0.0008148611589373901,11  1,0.25  0.75,1.0,1483.0,0,True,1.7472259998321533,12407,7.749191774220631e-05,939.8099369927744,-3.941465862950744e-37,0.0,4.2731366933230634e-05,1e+30,True,False,True,True,sin_impulse_logf,NH3,-192541.32105772497,4.17036607078069,1.0,0.00029550748164677506,0.0,303.15,0.0,3.029486443631998e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0098288145439994e-05,0.00029550750098700744,-6.046495307945355e-21,303.15,-3.646394329741267e-33,3.0294864426834134e-05,1.5355169510917e-22,3.8374315444753705e-37,4.9677190132301105e-42,3.417701370052076e-50,6.780607468383983e-33,-1.3288300436702215e-36,-3.541254317415552e-30,-1.383427658863849e-28,-2.1060107114867087e-29,1.0098288142278064e-05
8,0.00028099213489003836,1.0,101325.0,0.35,303.15,4245.12571625229,0.0008148611589373901,11  1,0.25  0.75,1.0,1483.0,0,True,0.5653913021087646,3479,4.35335430640295e-05,303.8446007983522,4.793222172702958e-36,0.0,2.543981041136858e-10,3.116420891551052e+21,True,False,True,True,sin_impulse_logf,NH3,-193811.00285631104,5.621290231537574,1.0,0.00028099213489003836,0.0,303.15,0.0,3.0302351575583562e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0100783858527854e-05,0.000280992134875376,-6.363891340693733e-21,303.15,5.157704523922512e-32,3.0302351575591518e-05,3.1717255289084792e-24,-3.8774795361843975e-47,-6.762743899465341e-54,-2.981369521560896e-61,1.4009315166634508e-34,-1.8507352600341802e-52,-3.3300995598876975e-31,-4.7760115276757725e-30,-7.451999862712438e-31,1.0100783858530512e-05
0,0.0002535289734603323,1.0,101325.0,0.35,303.15,4245.12571625229,0.0008148611589373901,11  1,0.25  0.75,1.0,1483.0,0,True,1.881293773651123,11229,6.086223229804524e-05,698.4613719176167,-2.08231866754138e-35,0.0,1.5588364996108933e-05,1e+30,True,False,True,True,sin_impulse_logf,NH3,-183910.6846392291,4.315235178297333,1.0,0.0002535289734603323,0.0,303.15,0.0,3.0318862823890396e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0106287607963466e-05,0.00025352898018327774,2.4677339861214437e-20,303.15,-3.050533191630241e-31,3.0318862819410618e-05,4.3784969031052457e-26,-2.3784289554685555e-44,-5.498669259974473e-53,1.4610822374168763e-62,1.9350087361258803e-36,-2.2269269894281565e-47,-1.12013320594442e-37,-7.239763558299952e-32,-1.0571606487624303e-32,1.0106287606470216e-05
11,0.00018826601245311154,1.0,101325.0,0.35,303.15,4245.12571625229,0.0008148611589373901,11  1,0.25  0.75,1.0,1483.0,0,True,0.5400068759918213,3032,2.9821880446120146e-05,305.03160548709945,-5.983048904037432e-51,0.0,6.774412349480756e-10,1e+30,True,False,True,True,sin_impulse_logf,NH3,-233529.04216398913,5.60280247267559,1.0,0.00018826601245311154,0.0,303.15,0.0,3.0377425159986685e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0125808386662228e-05,0.00018826601242316756,7.68454148976027e-21,303.15,-2.140514484843396e-46,3.037742516002289e-05,2.488076667525749e-25,-3.883907521515817e-48,-1.4839731009214254e-57,-9.640304631959878e-67,1.1016907254431822e-35,5.103731633603476e-57,-6.541966989614271e-35,-4.943441177482905e-31,-7.488938196283683e-32,1.0125808386674282e-05
5,5.0354401253652164e-05,1.0,101325.0,0.35,303.15,4245.12571625229,0.0008148611589373901,11  1,0.25  0.75,1.0,1483.0,0,True,2.565185785293579,13142,2.7731014160230262e-05,3496.5174322397415,1.0616934581814822e-15,0.0,1.5121512332585241e-06,83630.72907207043,True,False,True,True,sin_impulse_logf,NH3,-203284.97367632622,4.504170411477952,1.0,5.0354401253652164e-05,0.0,303.15,0.0,3.1000503440444336e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0333501146814779e-05,5.035359597295001e-05,-3.8954891731352945e-13,303.1500000008738,1.9852676208262776e-09,3.099902644957062e-05,6.282562744994756e-13,8.05371340412233e-26,4.023425590793566e-22,1.076575766556224e-12,2.838774988327699e-23,4.544457352524656e-16,1.8380995285934512e-12,4.691685771445789e-19,1.9489401523180346e-25,1.0333007463743368e-05
13,0.00020929882923346227,1.0,101325.0,0.35,303.15,4245.12571625229,0.0008148611589373901,11  1,0.25  0.75,1.0,1483.0,0,True,0.518073558807373,3697,3.283139202823826e-05,304.6948181788521,-2.1342241862768626e-49,0.0,5.958059432118729e-10,1e+30,True,False,True,True,sin_impulse_logf,NH3,-283420.6219139632,5.646735931846768,1.0,0.00020929882923346227,0.0,303.15,0.0,3.0354563389718424e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0118187796572808e-05,0.00020929882920331952,4.7966585196124096e-20,303.15,-5.5571360731437004e-45,3.0354563389747894e-05,8.399995229395933e-24,-1.0089902657814201e-46,-6.195241214610044e-56,2.734576455479445e-64,3.7166186779594277e-34,-1.6280714422566476e-54,-3.138910857134364e-33,-1.332091791349708e-29,-1.9457481713857453e-30,1.0118187796582633e-05
