ID,R_E,ratio,P_amb,alfa_M,T_inf,P_v,mu_L,gases,fractions,surfactant,c_L,error_code,elapsed_time,steps,collapse_time,T_max,n_NH3,expansion_work,dissipated_acoustic_energy,energy_efficiency,target_specie,p_A,freq,n,R_0,R_dot_0,T_0,c_NH3_0,c_H2_0,c_H_0,c_NH2_0,c_NH_0,c_N_0,c_NNH_0,c_N2H4_0,c_N2H3_0,c_N2H2_0,c_H2NN_0,c_N2_0,R_last,R_dot_last,T_last,c_NH3_last,c_H2_last,c_H_last,c_NH2_last,c_NH_last,c_N_last,c_NNH_last,c_N2H4_last,c_N2H3_last,c_N2H2_last,c_H2NN_last,c_N2_last
21,1e-06,1.0,25331.25,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,0,1.3615643978118896,4520,1.5011776230958204e-05,303.1679966547154,1.256768751656153e-139,0.0,2.5505515437966275e-15,1.191649477685263e+120,NH3,-50000.0,50000.0,2.0,1e-06,0.0,303.15,0.0,5.036778399132507e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.678926133044169e-05,1.0000000289169664e-06,-3.896512240986555e-23,303.15,3.0003141269626547e-128,5.036778275280264e-05,1.2500397472897313e-67,5.630326528268372e-130,-1.349235370838929e-137,1.927728158541428e-130,3.670976807506954e-77,3.013223069706427e-136,8.067344379004238e-123,1.0539896716247133e-102,1.079880145317861e-113,1.678926091760096e-05
24,1e-06,1.0,25331.25,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,0,0.9766194820404053,3848,7.5023966844350994e-06,303.186143992409,1.7942378424858682e-139,0.0,5.172560945895131e-15,1.6927600485219932e+120,NH3,-50000.0,100000.0,2.0,1e-06,0.0,303.15,0.0,5.036778399132507e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.678926133044169e-05,1.0000000372683955e-06,1.1276247863068212e-22,303.15,4.283426846803097e-128,5.036778239510848e-05,1.250040047415723e-67,6.135662728101322e-130,-3.7528172241778747e-137,-2.0770268866191624e-129,3.670977662813333e-77,-8.766935397452372e-137,1.209165662065481e-122,1.2257990102163833e-102,1.2559098527431792e-113,1.6789260798369494e-05
6,1e-06,1.0,25331.25,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,0,8.320420026779175,17482,0.00015001198510931977,303.1517952511386,1.9310441140723454e-139,0.0,2.5244712395505805e-16,7.6762308745622965e+118,NH3,-50000.0,5000.0,2.0,1e-06,0.0,303.15,0.0,5.036778399132507e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.678926133044169e-05,1.0000001907237598e-06,-3.6523006617369125e-23,303.15,4.610025603522103e-128,5.036777582257032e-05,1.2500336975926824e-67,6.8072875289578664e-130,4.761064274310567e-137,2.858511102026176e-129,3.670958536337899e-77,3.5457896722113944e-135,1.1666054812075416e-122,1.2081833089753403e-102,1.237861434879972e-113,1.6789258607523438e-05
2,1e-06,1.0,25331.25,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,0,14.92287015914917,28898,0.0007500129160835666,303.1503589774835,1.5935686815834904e-139,0.0,2.4823198265902353e-17,9.146538069882782e+117,NH3,-50000.0,1000.0,1.0,1e-06,0.0,303.15,0.0,5.036778399132507e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.678926133044169e-05,1.0000002351000156e-06,1.1174551001703995e-22,303.15,3.8043623092391617e-128,5.036777392192296e-05,1.2500240957300753e-67,6.143758171762332e-130,8.495879767502916e-137,4.858896229187679e-129,3.670930200143607e-77,8.14614743782103e-135,8.977234137744384e-123,1.0940888968006567e-102,1.1209643781842153e-113,1.6789257973973937e-05
3,1e-06,1.0,25331.25,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,0,25.563223361968994,55628,0.0007500129160835666,303.15035897771287,5.547426875874906e-140,0.0,4.961340910208354e-17,5.2514263610940905e+118,NH3,-50000.0,1000.0,2.0,1e-06,0.0,303.15,0.0,5.036778399132507e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.678926133044169e-05,1.0000004962649041e-06,-5.495844851948945e-22,303.15,1.3243486414202492e-128,5.036776273616001e-05,1.2500076947100016e-67,5.364851142432807e-130,-3.657903312832785e-136,-1.2891717956030104e-128,3.67088122023828e-77,-4.450663299247853e-134,7.084125216826802e-123,1.0075888813847978e-102,1.0323395541138126e-113,1.6789254245386257e-05
27,1e-06,1.0,25331.25,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,43,52.058621644973755,0,0.0,0.0,0.0,0.0,0.0,0.0,NH3,-100000.0,1000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1e-06,1.0,25331.25,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,43,53.32719969749451,0,0.0,0.0,0.0,0.0,0.0,0.0,NH3,-100000.0,1000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1e-06,1.0,25331.25,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,41,6.3296308517456055,0,0.0,0.0,0.0,0.0,0.0,0.0,NH3,-100000.0,20000.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1e-06,1.0,25331.25,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,42,110.47552800178528,0,0.0,0.0,0.0,0.0,0.0,0.0,NH3,-100000.0,5000.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1e-06,1.0,25331.25,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,42,111.93464827537537,0,0.0,0.0,0.0,0.0,0.0,0.0,NH3,-100000.0,5000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
