ID,R_E,ratio,P_amb,alfa_M,T_inf,P_v,mu_L,rho_L,gases,fractions,surfactant,c_L,error_code,success,elapsed_time,steps,collapse_time,T_max,n_NH3,expansion_work,dissipated_acoustic_energy,energy_efficiency,enable_heat_transfer,enable_evaporation,enable_reactions,enable_dissipated_energy,excitation_type,target_specie,p_A,freq,n,R_0,R_dot_0,T_0,c_NH3_0,c_H2_0,c_H_0,c_NH2_0,c_NH_0,c_N_0,c_NNH_0,c_N2H4_0,c_N2H3_0,c_N2H2_0,c_H2NN_0,c_N2_0,R_last,R_dot_last,T_last,c_NH3_last,c_H2_last,c_H_last,c_NH2_last,c_NH_last,c_N_last,c_NNH_last,c_N2H4_last,c_N2H3_last,c_N2H2_last,c_H2NN_last,c_N2_last
193,3.0646433369676256e-05,1.0,202650.0,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.8225696086883545,12369,3.0553652859822386e-05,4735.596477569108,7.074548694798679e-14,0.0,2.303940244779465e-06,1912.2394212528961,True,False,True,True,sin_impulse,NH3,-291528.4122781486,22407.497099269953,1.0,3.0646433369676256e-05,0.0,293.15,0.0,6.380205135356643e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.126735045118881e-05,3.0575245525969637e-05,3.844434410462619e-12,293.1499999787651,5.908813347096252e-07,6.336219028611483e-05,8.894934109790982e-21,3.506608042523769e-24,2.307603038273478e-24,-3.684082552158263e-12,2.587091304311836e-31,1.5414670527076322e-11,1.5644178599769769e-10,1.0553018694715467e-16,-1.9287548627914155e-20,2.1120648578226462e-05
193,3.0646673430423735e-05,1.0,202650.0,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.7859256267547607,12157,3.055367915491189e-05,4735.582670334185,7.074517095378139e-14,0.0,2.3039524800768766e-06,1912.2581177425586,True,False,True,True,sin_impulse,NH3,-291528.4122781486,22407.497099269953,1.0,3.0646673430423735e-05,0.0,293.15,0.0,6.38020400327776e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.126734667759253e-05,3.0575487991428446e-05,-4.579482177686415e-13,293.1500000025193,5.908646384595873e-07,6.336218726084593e-05,1.739352681394543e-22,9.49920294233833e-24,1.6152114603864176e-23,7.135365663375757e-12,5.055965205286547e-33,1.5413650326597103e-11,1.5643538883007298e-10,1.0559661046343467e-16,4.521637804484042e-20,2.112064216361639e-05
193,3.0646433369676256e-05,1.0,202650.0,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.8146960735321045,12279,3.055364013975627e-05,4735.590078927302,7.07445534702998e-14,0.0,2.3039257067381193e-06,1912.252586803331,True,False,True,True,sin_impulse,NH3,-291528.15424656786,22407.497099269953,1.0,3.0646433369676256e-05,0.0,293.15,0.0,6.380205135356643e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.126735045118881e-05,3.057524429799509e-05,-2.305613634413107e-12,293.15000000540965,5.908736092983585e-07,6.336218676489742e-05,-9.071630009441347e-14,1.292970531084303e-16,-1.2110965307936162e-22,6.391496037005013e-12,4.383094863206711e-22,1.5588847052626195e-11,2.0220519545264974e-10,-4.392185655847991e-11,-2.3983294621791194e-12,2.112065029198767e-05
193,3.0646433369676256e-05,1.0,202650.0,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.7692294120788574,11979,3.055360641967268e-05,4735.592633458226,7.07449266410708e-14,0.0,2.303931384373111e-06,1912.2472123045752,True,False,True,True,sin_impulse,NH3,-291528.4122781486,22407.535327703867,1.0,3.0646433369676256e-05,0.0,293.15,0.0,6.380205135356643e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.126735045118881e-05,3.057524685544462e-05,-3.4107388621974317e-13,293.1500000018967,5.908765778296284e-07,6.336219022807782e-05,1.4972212018736848e-16,-6.189488136159861e-19,1.327419014424016e-23,5.826231443511882e-12,3.1824933237588e-27,1.541396464719195e-11,1.5637455133279275e-10,6.661098202781365e-14,-7.804067410291659e-16,2.112064379378452e-05
193,3.019882719960039e-05,1.0,202650.0,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.7924501895904541,12034,3.055950932872552e-05,4773.377218385305,7.284502382194441e-14,0.0,2.308590946459059e-06,1860.8736862141768,True,False,True,True,sin_impulse,NH3,-291879.97079680965,22376.674565738376,1.0,3.019882719960039e-05,0.0,293.15,0.0,6.382347260622919e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1274490868743063e-05,3.012334011525676e-05,-1.501656165564334e-13,293.15000000081534,6.36212070306712e-07,6.334991221056826e-05,3.333240199716368e-18,1.6594553156665026e-23,1.1320271243810042e-23,5.4005086888251494e-12,9.669118346016709e-29,1.8445693247379678e-11,1.7451113116056278e-10,1.230320287084772e-16,1.7840603383916407e-19,2.111654129905645e-05
193,3.019882719960039e-05,1.0,202650.0,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.7471039295196533,11779,3.0614601405125545e-05,4785.247689923386,7.441766620286245e-14,0.0,2.335993952246731e-06,1843.1703020448551,True,False,True,True,sin_impulse,NH3,-292231.52931547066,22345.8520322068,1.0,3.019882719960039e-05,0.0,293.15,0.0,6.382347260622919e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1274490868743063e-05,3.012170599643645e-05,-4.03566168818652e-13,293.1500000021943,6.500529611949193e-07,6.333960812199258e-05,1.3271383964535392e-22,7.787656396438384e-24,1.2962731744996624e-23,6.544601693683277e-12,3.857060313479836e-33,1.9438221048744988e-11,1.8053723898728108e-10,1.1932210496221179e-16,4.4853636768328356e-20,2.1113102686924237e-05
193,3.019882719960039e-05,1.0,202650.0,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.8143041133880615,12217,3.0725190524308944e-05,4808.951538094011,7.744413629915664e-14,0.0,2.3917955334466997e-06,1813.4488322320617,True,False,True,True,sin_impulse,NH3,-292934.6463527928,22284.206965143647,1.0,3.019882719960039e-05,0.0,293.15,0.0,6.382347260622919e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1274490868743063e-05,3.011855962252091e-05,-9.670104901060745e-13,293.15000000311585,6.767018064182006e-07,6.331976878553542e-05,-1.6681712510054968e-14,9.448692842265926e-22,1.307292743681929e-23,7.2231312105039304e-12,-4.822755404822214e-25,2.1459052267262342e-11,1.9729076118278274e-10,-4.884973277753405e-12,-2.008910585480058e-17,2.1106483439096813e-05
193,3.019882719960039e-05,1.0,202650.0,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.7514646053314209,12183,3.0948004098894336e-05,4856.211921168892,8.293250043954666e-14,0.0,2.507481301940584e-06,1775.3449118122467,True,False,True,True,sin_impulse,NH3,-294340.880427437,22160.916831017345,1.0,3.019882719960039e-05,0.0,293.15,0.0,6.382347260622919e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1274490868743063e-05,3.011285187738892e-05,-1.7768781166078287e-12,293.1500000098122,7.250709187107299e-07,6.32837654211199e-05,9.816201595224352e-16,-1.2173694499452112e-20,-1.2261995160217045e-23,-5.051507499884415e-12,2.850400118406852e-26,2.5394925288084853e-11,2.148327053861113e-10,3.5015452939239107e-13,-5.1253514315918395e-17,2.1094474884893773e-05
193,3.019882719960039e-05,1.0,202650.0,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.8387088775634766,12230,3.1400301061375676e-05,4950.147801161071,9.118991298036006e-14,0.0,2.7560144643564653e-06,1774.6163870199584,True,False,True,True,sin_impulse,NH3,-297153.3485767254,21914.336562764733,1.0,3.019882719960039e-05,0.0,293.15,0.0,6.382347260622919e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1274490868743063e-05,3.0104260632293818e-05,1.2431573779889148e-13,293.149999999321,7.979474589687335e-07,6.322950545086816e-05,-2.2902885494506128e-18,-1.3855604665115654e-19,8.647521845819949e-24,5.8489171815488055e-12,-5.428315019937201e-29,3.2344662833637854e-11,2.5442613533488595e-10,1.7348758957515043e-16,-1.805170544889234e-16,2.1076360897880295e-05
193,3.019882719960039e-05,1.0,202650.0,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.8213670253753662,12230,3.1400301061375676e-05,4950.147801161071,9.118991298036006e-14,0.0,2.7560144643564653e-06,1774.6163870199584,True,False,True,True,sin_impulse,NH3,-297153.3485767254,21914.336562764733,1.0,3.019882719960039e-05,0.0,293.15,0.0,6.382347260622919e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1274490868743063e-05,3.0104260632293818e-05,1.2431573779889148e-13,293.149999999321,7.979474589687335e-07,6.322950545086816e-05,-2.2902885494506128e-18,-1.3855604665115654e-19,8.647521845819949e-24,5.8489171815488055e-12,-5.428315019937201e-29,3.2344662833637854e-11,2.5442613533488595e-10,1.7348758957515043e-16,-1.805170544889234e-16,2.1076360897880295e-05
