ID,R_E,ratio,P_amb,alfa_M,T_inf,P_v,mu_L,gases,fractions,surfactant,c_L,error_code,elapsed_time,steps,collapse_time,T_max,n_NH3,expansion_work,dissipated_acoustic_energy,energy_efficiency,enable_heat_transfer,enable_evaporation,enable_reactions,enable_dissipated_energy,excitation_type,target_specie,R_0,R_dot_0,T_0,c_NH3_0,c_H2_0,c_H_0,c_NH2_0,c_NH_0,c_N_0,c_NNH_0,c_N2H4_0,c_N2H3_0,c_N2H2_0,c_H2NN_0,c_N2_0,R_last,R_dot_last,T_last,c_NH3_last,c_H2_last,c_H_last,c_NH2_last,c_NH_last,c_N_last,c_NNH_last,c_N2H4_last,c_N2H3_last,c_N2H2_last,c_H2NN_last,c_N2_last
1,1e-06,1.0,1013250.0,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,0,0.004538297653198242,7,0.0,303.15,-8.79482472547532e-113,0.0,0.0,1e+30,True,False,True,False,no_excitation,NH3,1e-06,0.0,303.15,0.0,0.0003443295654573441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011477652181911469,1e-06,-3.714233778013142e-24,303.15,-2.0996097430293286e-101,0.0003443295654573441,-3.3629738449605584e-28,3.299438464836899e-95,1.1361854371726134e-110,1.4197205277692385e-102,3.3629738449605584e-28,-5.53975409456947e-119,1.8408360067391705e-89,-9.747005229466985e-62,-1.6528470789182872e-66,0.00011477652181911469
3,1e-06,1.3673469387755102,1013250.0,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,0,0.40832090377807617,2977,5.6067695421311106e-08,362.93465250640276,-2.7007939873506214e-122,2.8428125042131692e-12,0.0,1e+30,True,False,True,False,no_excitation,NH3,1.3673469387755102e-06,0.0,303.15,0.0,0.0001346908663847982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.489695546159941e-05,9.99999998319333e-07,-8.045243957665205e-23,303.15,-6.4476707329049784e-111,0.0003443295655293274,1.0391793762319784e-61,-1.111003267115934e-119,-9.448477519600141e-118,-6.447678065259699e-111,5.21566643858718e-72,-7.623001076592851e-117,-8.827863335637708e-112,-9.81284752098017e-93,-2.0327530452607792e-103,0.00011477652184310935
2,1e-06,1.183673469387755,1013250.0,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,0,0.3776082992553711,2560,5.490581331978539e-08,326.8506119198354,8.515641006616652e-137,7.052289817715994e-13,0.0,4.862757397502925e+119,True,False,True,False,no_excitation,NH3,1.183673469387755e-06,0.0,303.15,0.0,0.00020762448771214013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.920816257071338e-05,9.999999995225709e-07,5.098338877517497e-23,303.15,2.0329595426104074e-125,0.0003443295654777923,5.861837244905181e-66,3.6132091868631035e-128,3.004191504747438e-133,2.034383640243295e-126,2.9420710496334924e-76,3.9487812160170567e-132,4.86888488247419e-120,6.922338767498078e-101,7.092408243098707e-112,0.00011477652182593102
17,1e-06,3.938775510204082,1013250.0,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,200,1.0400958061218262,6256,1.1521363375527487e-07,2096.815142140319,1.5535109313955048e-30,2.482989887586393e-10,0.0,9384916944823198.0,True,False,True,False,no_excitation,NH3,3.938775510204081e-06,0.0,303.15,0.0,5.634957275549642e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8783190918498804e-06,1.0000000276458005e-06,4.199334254353387e-14,303.1499999999819,3.7087338505905774e-19,0.0003443296436258195,-9.068900184139041e-11,-6.498128923913152e-33,-6.795447736882111e-22,1.0675815332765818e-21,-4.551725029640301e-21,6.595942148506345e-23,3.5527718556897913e-16,-1.818493988498674e-20,-3.3251986854840534e-17,0.00011477653276028515
9,1e-06,2.4693877551020407,1013250.0,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,0,0.5523495674133301,3660,7.576526927976348e-08,1000.6402585809288,1.1166941447065142e-55,5.113162038354806e-11,0.0,2.688593307422277e+40,True,False,True,False,no_excitation,NH3,2.4693877551020405e-06,0.0,303.15,0.0,2.28668553024655e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.622285100821834e-06,1.0000000210236707e-06,-1.1521458496162642e-23,303.15,2.6659107276355786e-44,0.00034432956455689433,3.511626708781625e-22,-3.9057244269069697e-47,1.9800141247933276e-51,2.7548363974710197e-49,1.7624939386557802e-32,6.08461913010801e-50,-3.2241720486753574e-35,-8.178506840507329e-31,-7.533800472168647e-31,0.00011477652151896422
13,1e-06,3.2040816326530615,1013250.0,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,200,0.710946798324585,4854,9.486021564013359e-08,1575.3763414879045,3.2279166545069575e-38,1.2681312986743224e-10,0.0,2.306809361080504e+23,True,False,True,False,no_excitation,NH3,3.2040816326530614e-06,0.0,303.15,0.0,1.0467997189196461e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4893323963988204e-06,1.0000000343855633e-06,-2.280728438701805e-19,303.15,7.706082576867542e-27,0.0003443295639501513,3.9369871215805237e-14,-3.1516984349026128e-40,-4.080459552882677e-32,-2.4440743861833337e-31,1.9759833476992033e-24,7.756530248105334e-31,4.0112409340040205e-22,5.2743276318035546e-27,3.7504741861156466e-25,0.00011477652132327865
5,1e-06,1.7346938775510203,1013250.0,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,0,0.45984435081481934,2997,6.042080709231173e-08,511.8920364333126,-3.8640511225534114e-57,1.1717894204045605e-11,0.0,1e+30,True,False,True,False,no_excitation,NH3,1.7346938775510204e-06,0.0,303.15,0.0,6.596381688824111e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1987938962747037e-05,1.0000000041998557e-06,-1.1953397194154958e-22,303.15,-9.224742431484674e-46,0.000344329565277463,8.547890535378307e-25,-1.4526566012083322e-48,4.9514381727535065e-59,1.232056656018451e-67,4.290206943337636e-35,1.848302108343149e-54,-3.0600191384830526e-39,-2.9978867762585006e-32,-2.800973938861403e-32,0.00011477652175915438
4,1e-06,1.5510204081632653,1013250.0,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,0,0.5126936435699463,3090,5.790295359080671e-08,422.3371503485854,-1.0657716258047074e-110,6.4809084423526005e-12,0.0,1e+30,True,False,True,False,no_excitation,NH3,1.5510204081632651e-06,0.0,303.15,0.0,9.228301557828009e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.076100519276003e-05,9.999999996898163e-07,-7.089226604023679e-23,303.15,-2.544342339176216e-99,0.0003443295654706287,4.991518833917319e-53,-4.5265863650396836e-102,4.704284422138666e-107,3.3017067921060693e-100,2.5052553823021597e-63,5.075608746757547e-107,-8.745866745186362e-95,-9.722054749231868e-76,-8.72589831125202e-86,0.00011477652182354378
10,1e-06,2.6530612244897958,1013250.0,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,0,0.6030590534210205,3932,8.033379039702649e-08,1144.9214626134012,1.599132366344768e-49,6.628734514432877e-11,0.0,2.4339744126328813e+34,True,False,True,False,no_excitation,NH3,2.6530612244897955e-06,0.0,303.15,0.0,1.8438793375735587e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.146264458578529e-06,1.000000022043578e-06,2.0442240704522448e-22,303.15,3.817647058966335e-38,0.00034432956451321085,1.9561828682918141e-19,-7.627071766290364e-47,1.3849310053816185e-44,4.021509757623426e-43,9.818129128609338e-30,7.377577783088014e-44,-6.133783682608454e-32,-3.0304272829308243e-30,-1.9553849255391794e-30,0.00011477652150440349
12,1e-06,3.0204081632653064,1013250.0,0.05,303.15,4245.12571625229,0.0008148611589373901,1  11,0.75  0.25,1.0,1483.0,200,0.6738665103912354,4790,8.99153666244366e-08,1434.3504397332908,3.335304673005127e-41,1.0397829908000806e-10,0.0,1.8305305998159957e+26,True,False,True,False,no_excitation,NH3,3.0204081632653064e-06,0.0,303.15,0.0,1.2496183915097287e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.165394638365762e-06,1.0000000274980428e-06,-3.8046136962053307e-22,303.15,7.962452724538339e-30,0.00034432956427815544,1.6442707125990206e-15,6.906942088835292e-42,3.73692800943888e-35,1.8010062746135656e-34,8.252634468265631e-26,2.4082101092478275e-34,2.038231601188177e-24,1.1129531774075634e-28,9.369061451233298e-27,0.0001147765214263264
