ID,R_E,ratio,P_amb,alfa_M,T_inf,P_v,mu_L,rho_L,gases,fractions,surfactant,c_L,error_code,success,elapsed_time,steps,collapse_time,T_max,n_NH3,expansion_work,dissipated_acoustic_energy,energy_efficiency,enable_heat_transfer,enable_evaporation,enable_reactions,enable_dissipated_energy,excitation_type,target_specie,p_A,freq,n,R_0,R_dot_0,T_0,c_NO_0,c_NH3_0,c_H2_0,c_O2_0,c_H_0,c_O_0,c_OH_0,c_HO2_0,c_H2O_0,c_H2O2_0,c_NH2_0,c_NH_0,c_N_0,c_NNH_0,c_NH2OH_0,c_H2NO_0,c_HNOH_0,c_HNO_0,c_HON_0,c_NO2_0,c_HONO_0,c_HNO2_0,c_NO3_0,c_HONO2_0,c_N2O_0,c_N2H4_0,c_N2H3_0,c_N2H2_0,c_H2NN_0,c_AR_0,c_HE_0,c_N2_0,R_last,R_dot_last,T_last,c_NO_last,c_NH3_last,c_H2_last,c_O2_last,c_H_last,c_O_last,c_OH_last,c_HO2_last,c_H2O_last,c_H2O2_last,c_NH2_last,c_NH_last,c_N_last,c_NNH_last,c_NH2OH_last,c_H2NO_last,c_HNOH_last,c_HNO_last,c_HON_last,c_NO2_last,c_HONO_last,c_HNO2_last,c_NO3_last,c_HONO2_last,c_N2O_last,c_N2H4_last,c_N2H3_last,c_N2H2_last,c_H2NN_last,c_AR_last,c_HE_last,c_N2_last
1822,3.75847092726544e-05,1.0,101325.0,0.35,293.15,2338.1,0.001,998.2,31,1.0,1.0,1483.0,1,True,22.12428045272827,11248,3.685193867452643e-05,4698.6861550094545,1.8353007144944032e-15,0.0,1.4622845160001493e-05,467836.8684165314,True,True,True,True,sin_impulse,NH3,-334451.61495671654,25434.268966556843,1.0,3.75847092726544e-05,0.0,293.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.592661841230495e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.218319767345459e-05,3.774880535837207e-05,-2.177710223205925e-12,293.15000001640067,3.479361907191207e-07,8.14533570816394e-09,3.544059044627653e-07,7.2021710602799844e-09,1.2319382727193653e-21,7.659928775561489e-33,6.86722642615843e-22,1.1908513986523662e-23,9.592661840975075e-07,1.4152382525959488e-12,3.724884401631779e-21,1.6131206019762933e-36,1.1072334023666698e-39,1.263075984589637e-24,3.5558216624023558e-12,1.5385791546921984e-09,1.9091851847073477e-12,8.296398686331026e-11,8.079333121241628e-13,1.412180749348599e-13,8.70305315222822e-10,3.126423061023954e-13,7.414022795310219e-29,1.9908182202078254e-13,2.93729153023674e-09,4.103594464174163e-13,7.886144378321897e-13,1.1808364915505684e-13,2.4985213815666017e-14,0.0,0.0,4.145323892100915e-05
1822,3.758474859194167e-05,1.0,101325.0,0.35,293.15,2338.1,0.001,998.2,31,1.0,1.0,1483.0,1,True,22.26357078552246,11224,3.685194121310264e-05,4698.686429023361,1.835299356863575e-15,0.0,1.462284150074874e-05,467837.09741812287,True,True,True,True,sin_impulse,NH3,-334451.61495671654,25434.268966556843,1.0,3.758474859194167e-05,0.0,293.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.592661841230495e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.218319602968727e-05,3.7748844850513935e-05,-2.177707351592243e-12,293.15000001640055,3.4793622337973105e-07,8.14530411834564e-09,3.5440592077100256e-07,7.20214483772772e-09,1.2320078154080456e-21,7.610221846013412e-33,6.867228626090021e-22,1.190865563635208e-23,9.592661840975037e-07,1.41522825381279e-12,3.724869396003711e-21,1.6132048000027092e-36,3.438384803650583e-38,1.2630710149677447e-24,3.5557988279110735e-12,1.5385806717198336e-09,1.9091825769898658e-12,8.296396816147212e-11,8.079309611984832e-13,1.41217448422166e-13,8.703018871023522e-10,3.1264148152654143e-13,7.413962910720137e-29,1.9908019377656887e-13,2.9372853958729793e-09,4.103577255777841e-13,7.886236772447054e-13,1.1807305138109694e-13,2.4985175600364643e-14,0.0,0.0,4.145323730128987e-05
1822,3.75847092726544e-05,1.0,101325.0,0.35,293.15,2338.1,0.001,998.2,31,1.0,1.0,1483.0,1,True,22.4657621383667,11219,3.6851933559396214e-05,4698.687003311737,1.8352967861303074e-15,0.0,1.4622816703455376e-05,467836.9593705907,True,True,True,True,sin_impulse,NH3,-334451.3968401855,25434.268966556843,1.0,3.75847092726544e-05,0.0,293.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.592661841230495e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.218319767345459e-05,3.7748805345583676e-05,-2.1779742767043074e-12,293.15000001640266,3.4793617324093224e-07,8.145318281782047e-09,3.544058894790791e-07,7.202161643720111e-09,1.2319813253506315e-21,7.660916120303307e-33,6.8672367677346405e-22,1.1908615214045964e-23,9.592661840976856e-07,1.415234791955171e-12,3.7248804245917964e-21,1.6131732010627597e-36,-3.490449141267238e-49,1.2630745744112227e-24,3.5558110006968602e-12,1.5385805461527547e-09,1.9091861813079506e-12,8.296398001903384e-11,8.079315174676388e-13,1.4121774888764015e-13,8.703041453534097e-10,3.12641927311966e-13,7.413996023097099e-29,1.9908147451156402e-13,2.9372884798770174e-09,4.103590096195484e-13,7.886207381812587e-13,1.18077320237801e-13,2.498521360373503e-14,0.0,0.0,4.14532389837082e-05
1822,3.75847092726544e-05,1.0,101325.0,0.35,293.15,2338.1,0.001,998.2,31,1.0,1.0,1483.0,0,True,7.658354043960571,11641,3.685189329543733e-05,4698.687730520046,1.835292687468694e-15,0.0,1.4622782161520348e-05,467836.89904171537,True,True,True,True,sin_impulse,NH3,-334451.61495671654,25434.302365891017,1.0,3.75847092726544e-05,0.0,293.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.592661841230495e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.218319767345459e-05,3.774881985343835e-05,-2.3882419226737672e-12,293.15000001835506,3.479335697514641e-07,8.145290699966952e-09,3.5440570192077995e-07,7.202154474529666e-09,1.2345012064770154e-21,4.6813992990498384e-33,6.889877205836899e-22,1.2454198262417412e-23,9.592661840944823e-07,1.4152360622084638e-12,3.7353303658711084e-21,1.7157643925744305e-36,2.9520602959722125e-50,1.2666087460538068e-24,3.5558023137295535e-12,1.53619112237393e-09,1.9087058444826252e-12,8.83980606800044e-11,8.079280601793488e-13,1.4155226450760792e-13,8.703035673666146e-10,3.126429990001719e-13,7.431560963733846e-29,1.9907214508932181e-13,2.936960611784732e-09,4.103593476351154e-13,7.884855835839819e-13,1.1821326254350917e-13,2.51109396888919e-14,0.0,0.0,4.145323849174353e-05
1822,3.749405054821024e-05,1.0,101325.0,0.35,293.15,2338.1,0.001,998.2,31,1.0,1.0,1483.0,1,True,21.376686096191406,11192,3.686475463165848e-05,4695.404941607047,1.844629716197157e-15,0.0,1.4676620630740933e-05,467182.60515508906,True,True,True,True,sin_impulse,NH3,-334651.3600571525,25423.97027664406,1.0,3.749405054821024e-05,0.0,293.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.592661841230498e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.218699688608216e-05,3.7657763502348464e-05,-2.180667089518916e-12,293.15000001637367,3.478772469632579e-07,8.246259935896077e-09,3.543811815499245e-07,7.278094762374161e-09,1.216035640807801e-21,7.647350245070028e-33,6.915230659238102e-22,1.200058669574974e-23,9.592661840975452e-07,1.4442001118393716e-12,3.756497597590201e-21,1.5966933313272023e-36,8.321352267109576e-39,1.2735775249671284e-24,3.6261589915382842e-12,1.5329082209296544e-09,1.915058769498915e-12,8.301491174819229e-11,8.161996843226862e-13,1.4318471540794157e-13,8.801387568876301e-10,3.151385664645721e-13,7.596574312374275e-29,2.0351296778023676e-13,2.9562718895600405e-09,4.1505289637610507e-13,7.883416285361093e-13,1.2190265490101323e-13,2.5074263522862388e-14,0.0,0.0,4.145690458419378e-05
1822,3.740339182376608e-05,1.0,101325.0,0.35,293.15,2338.1,0.001,998.2,31,1.0,1.0,1483.0,1,True,21.602426767349243,11221,3.687758548897762e-05,4692.071473078241,1.8537955259652233e-15,0.0,1.4730518661541387e-05,466579.8779800271,True,True,True,True,sin_impulse,NH3,-334851.10515758855,25413.67158673128,1.0,3.740339182376608e-05,0.0,293.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.592661841230498e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.219081451585076e-05,3.756670526534788e-05,-2.1835314327826396e-12,293.150000016347,3.4777959578812156e-07,8.347643580725163e-09,3.543205510161082e-07,7.355588296385113e-09,1.2017504895174354e-21,7.563340449886288e-33,6.965089653119636e-22,1.2100479322934532e-23,9.59266184097601e-07,1.4741677000435997e-12,3.788778417639743e-21,1.5824316793361635e-36,-1.001162151802661e-37,1.2841610911186815e-24,3.697997201194226e-12,1.5271083043805337e-09,1.9201099644541968e-12,8.306667085153027e-11,8.243525831753595e-13,1.4517597897558708e-13,8.901731795549004e-10,3.179732328952809e-13,7.78429331280393e-29,2.0810010408757232e-13,2.9752986594243423e-09,4.1981346898035904e-13,7.881893373805049e-13,1.2559318393782323e-13,2.5161203551263146e-14,0.0,0.0,4.146066172920619e-05
1822,3.722207437487777e-05,1.0,101325.0,0.35,293.15,2338.1,0.001,998.2,31,1.0,1.0,1483.0,1,True,21.686835289001465,11126,3.690329190879427e-05,4685.2468989976205,1.8716023554084594e-15,0.0,1.483868022797115e-05,465534.090250534,True,True,True,True,sin_impulse,NH3,-335250.5953584605,25393.074206905716,1.0,3.722207437487777e-05,0.0,293.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.592661841230495e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.219850556509621e-05,3.73845389441014e-05,-2.1895692248803414e-12,293.15000001629375,3.4746503532771193e-07,8.551629700038474e-09,3.5408908283331066e-07,7.515487215579159e-09,1.1775928131353303e-21,7.663265894826153e-33,7.070269598284122e-22,1.232360890810697e-23,9.592661840976938e-07,1.5372939453516136e-12,3.855394437495473e-21,1.5599024761623663e-36,-3.811135619001287e-37,1.3055648478374343e-24,3.846272527235841e-12,1.5151061322603015e-09,1.9276397189020967e-12,8.317287982625758e-11,8.402902125622115e-13,1.4923429181388456e-13,9.108643328647986e-10,3.248957939002769e-13,8.176003982181304e-29,2.1777830293062587e-13,3.013469480197092e-09,4.2953898127073083e-13,7.882462283292634e-13,1.3258026131146765e-13,2.5328159031716463e-14,-1.0547118506317106e-46,0.0,4.146845666491928e-05
1822,3.6859439477101135e-05,1.0,101325.0,0.35,293.15,2338.1,0.001,998.2,31,1.0,1.0,1483.0,1,True,21.602859497070312,11059,3.6954883600512066e-05,4670.969236574397,1.9048629205256845e-15,0.0,1.5056449415256614e-05,464118.2410084568,True,True,True,True,sin_impulse,NH3,-336049.57576020446,25351.87944725459,1.0,3.6859439477101135e-05,0.0,293.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.592661841230495e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2214114664558636e-05,3.7020002329772823e-05,-2.200908459104982e-12,293.1500000161878,3.4633707615336786e-07,8.963255855298028e-09,3.5316841236962664e-07,7.856439313829522e-09,1.1439155259858746e-21,7.830643749339693e-33,7.301940548690062e-22,1.2862601879415308e-23,9.592661840978459e-07,1.6776504180861997e-12,3.9972739848845015e-21,1.5352815420566844e-36,1.490454401281688e-47,1.3492615120952972e-24,4.161880460702247e-12,1.4893798418856027e-09,1.9317279565860196e-12,8.339681827865688e-11,8.704972535650328e-13,1.576678554584114e-13,9.548784993066819e-10,3.448113584344255e-13,9.030372075150908e-29,2.3942990310148504e-13,3.0901169684772478e-09,4.498263048514978e-13,7.896833168171256e-13,1.4503376978623503e-13,2.562998738967885e-14,0.0,0.0,4.1485211990192e-05
1822,3.613416968154787e-05,1.0,101325.0,0.35,293.15,2338.1,0.001,998.2,31,1.0,1.0,1483.0,1,True,22.19646143913269,10896,3.705878265186251e-05,4639.913364601589,1.95984889639872e-15,0.0,1.549764134469161e-05,464315.1063482891,True,True,True,True,sin_impulse,NH3,-337647.5365636924,25269.489927952334,1.0,3.613416968154787e-05,0.0,293.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.592661841230498e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.224627276124305e-05,3.629008120461726e-05,-2.222076195062502e-12,293.1500000159806,3.419119143773439e-07,9.789717494780224e-09,3.4936706557934026e-07,8.636589056660479e-09,1.1178174915314367e-21,8.561214236501393e-33,7.850262179319514e-22,1.4329407802335882e-23,9.592661840981745e-07,2.0277290990557323e-12,4.319587303188179e-21,1.54866464230532e-36,6.140662711607545e-45,1.4396692504331567e-24,4.874356160648245e-12,1.4300468414785546e-09,1.8914109356107846e-12,8.390009873007258e-11,9.226547173900076e-13,1.7593703253180477e-13,1.0546839312593728e-09,4.161677776587104e-13,1.1079018824803837e-28,2.946778647130883e-13,3.2431818093863296e-09,4.938567397326132e-13,7.964991316720949e-13,1.6459410574340143e-13,2.6067275691950165e-14,0.0,0.0,4.152372207828333e-05
1822,3.6859439477101135e-05,1.0,101325.0,0.35,293.15,2338.1,0.001,998.2,31,1.0,1.0,1483.0,1,True,21.71268105506897,11059,3.6954883600512066e-05,4670.969236574397,1.9048629205256845e-15,0.0,1.5056449415256614e-05,464118.2410084568,True,True,True,True,sin_impulse,NH3,-336049.57576020446,25351.87944725459,1.0,3.6859439477101135e-05,0.0,293.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.592661841230495e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2214114664558636e-05,3.7020002329772823e-05,-2.200908459104982e-12,293.1500000161878,3.4633707615336786e-07,8.963255855298028e-09,3.5316841236962664e-07,7.856439313829522e-09,1.1439155259858746e-21,7.830643749339693e-33,7.301940548690062e-22,1.2862601879415308e-23,9.592661840978459e-07,1.6776504180861997e-12,3.9972739848845015e-21,1.5352815420566844e-36,1.490454401281688e-47,1.3492615120952972e-24,4.161880460702247e-12,1.4893798418856027e-09,1.9317279565860196e-12,8.339681827865688e-11,8.704972535650328e-13,1.576678554584114e-13,9.548784993066819e-10,3.448113584344255e-13,9.030372075150908e-29,2.3942990310148504e-13,3.0901169684772478e-09,4.498263048514978e-13,7.896833168171256e-13,1.4503376978623503e-13,2.562998738967885e-14,0.0,0.0,4.1485211990192e-05
