ID,R_E,ratio,P_amb,alfa_M,T_inf,P_v,mu_L,gases,fractions,surfactant,c_L,error_code,success,elapsed_time,steps,collapse_time,T_max,n_NH3,expansion_work,dissipated_acoustic_energy,energy_efficiency,enable_heat_transfer,enable_evaporation,enable_reactions,enable_dissipated_energy,excitation_type,target_specie,p_A,logf,n,R_0,R_dot_0,T_0,c_NH3_0,c_H2_0,c_H_0,c_NH2_0,c_NH_0,c_N_0,c_NNH_0,c_N2H4_0,c_N2H3_0,c_N2H2_0,c_H2NN_0,c_N2_0,R_last,R_dot_last,T_last,c_NH3_last,c_H2_last,c_H_last,c_NH2_last,c_NH_last,c_N_last,c_NNH_last,c_N2H4_last,c_N2H3_last,c_N2H2_last,c_H2NN_last,c_N2_last
6681,6.66953401185611e-05,1.0,190836.87739254077,0.27766762730352834,308.70114871449266,5800.575792187553,0.000727768799723164,11  1,0.25  0.75,0.784292932883705,1483.0,0,True,2.261699914932251,15155,1.8985524189302918e-05,2737.7799244086964,1.1556383270223117e-17,0.0,4.032887556194866e-06,20491038.65890588,True,False,True,True,sin_impulse_logf,NH3,-463593.2426518308,4.717384890298803,1.0,6.66953401185611e-05,0.0,308.70114871449266,0.0,5.625825913713486e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.875275304571162e-05,6.669534783096124e-05,-7.111062700161153e-14,308.7011487148452,9.299223848955244e-12,5.6258251118846904e-05,9.093332875594681e-13,8.429899295414093e-28,1.4755821312809096e-24,4.23211205466583e-15,5.0545308776865954e-23,1.4184824455136312e-17,5.051275504510285e-13,4.0249019790718197e-19,1.2107442049090633e-28,1.8752750269819294e-05
6681,6.66958391185611e-05,1.0,190836.87739254077,0.27766762730352834,308.70114871449266,5800.575792187553,0.000727768799723164,11  1,0.25  0.75,0.784292932883705,1483.0,0,True,2.298067808151245,15356,1.8985550898216543e-05,2737.7539792285665,1.1553251967641464e-17,0.0,4.032920220680759e-06,20496758.401648495,True,False,True,True,sin_impulse_logf,NH3,-463593.2426518308,4.717384890298803,1.0,6.66958391185611e-05,0.0,308.70114871449266,0.0,5.625825543668024e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8752751812226748e-05,6.669584527979914e-05,-4.304849647410359e-13,308.70114871657944,9.296496127391077e-12,5.6258246921878624e-05,1.4917635123773902e-12,8.42750113315337e-28,1.5856140448522663e-24,4.231151424872912e-15,8.291966239668445e-23,1.4286532494089283e-17,5.050864582528943e-13,4.024574358870986e-19,1.4185360703962895e-28,1.8752748967923e-05
6681,6.66953401185611e-05,1.0,190837.86531129078,0.27766762730352834,308.70114871449266,5800.575792187553,0.000727768799723164,11  1,0.25  0.75,0.784292932883705,1483.0,0,True,2.0763862133026123,15324,1.8985494512318876e-05,2737.775362940003,1.1555856811436462e-17,0.0,4.032894394922451e-06,20492006.93348648,True,False,True,True,sin_impulse_logf,NH3,-463593.2426518308,4.717384890298803,1.0,6.66953401185611e-05,0.0,308.70114871449266,0.0,5.6258547812814956e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.875284927093832e-05,6.669534683648028e-05,-4.1049941120883e-13,308.7011487165755,9.298800632536752e-12,5.625853924466298e-05,1.5461023274668137e-12,8.42935938278031e-28,4.966347758364312e-25,4.231286904959152e-15,8.594008867570464e-23,1.4335908200460948e-17,5.051193283282486e-13,4.0248702732520375e-19,3.849030402647983e-29,1.8752846417890918e-05
6681,6.66953401185611e-05,1.0,190836.87739254077,0.27766762730352834,308.7011887144927,5800.575792187553,0.000727768799723164,11  1,0.25  0.75,0.784292932883705,1483.0,0,True,1.9268200397491455,15043,1.8985521924213428e-05,2737.780189689155,1.1556413157792355e-17,0.0,4.032887557716392e-06,20490985.672050215,True,False,True,True,sin_impulse_logf,NH3,-463593.2426518308,4.717384890298803,1.0,6.66953401185611e-05,0.0,308.7011887144927,0.0,5.625825184746302e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8752750615821007e-05,6.669534666220758e-05,-5.233290440191835e-13,308.7011887170444,9.299248387844279e-12,5.625824306103482e-05,1.7965129861307379e-12,8.42993961253172e-28,1.308856562233126e-24,4.231984708532949e-15,9.985932458224558e-23,1.4487017961383386e-17,5.051272640126703e-13,4.024902605763005e-19,1.2820586013465168e-28,1.8752747731745796e-05
6681,6.66953401185611e-05,1.0,190836.87739254077,0.27766792730352835,308.70114871449266,5800.575792187553,0.000727768799723164,11  1,0.25  0.75,0.784292932883705,1483.0,0,True,2.1177587509155273,15155,1.8985524189302918e-05,2737.7799244086964,1.1556383270223117e-17,0.0,4.032887556194866e-06,20491038.65890588,True,False,True,True,sin_impulse_logf,NH3,-463593.2426518308,4.717384890298803,1.0,6.66953401185611e-05,0.0,308.70114871449266,0.0,5.625825913713486e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.875275304571162e-05,6.669534783096124e-05,-7.111062700161153e-14,308.7011487148452,9.299223848955244e-12,5.6258251118846904e-05,9.093332875594681e-13,8.429899295414093e-28,1.4755821312809096e-24,4.23211205466583e-15,5.0545308776865954e-23,1.4184824455136312e-17,5.051275504510285e-13,4.0249019790718197e-19,1.2107442049090633e-28,1.8752750269819294e-05
6681,6.66953401185611e-05,1.0,190836.87739254077,0.27766762730352834,308.70114871449266,5800.575792187553,0.000727768799723164,11  1,0.25  0.75,0.7842935328837051,1483.0,0,True,2.119835138320923,15741,1.898551918642007e-05,2737.7799083728314,1.1556381777724518e-17,0.0,4.0328875689074795e-06,20491041.369901747,True,False,True,True,sin_impulse_logf,NH3,-463593.2426518308,4.717384890298803,1.0,6.66953401185611e-05,0.0,308.70114871449266,0.0,5.625825951551316e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.875275317183772e-05,6.66953468615977e-05,-2.947050761201396e-13,308.7011487159887,9.299223053437466e-12,5.62582512603119e-05,1.1876576446998667e-12,8.430084875663734e-28,1.9029208853226043e-24,4.232278050984494e-15,6.601594907988284e-23,1.4183726960749853e-17,5.05127808378756e-13,4.024904050154036e-19,1.597822025506357e-28,1.8752750363361916e-05
6681,6.66953401185611e-05,1.0,190836.87739254077,0.27766762730352834,308.70114871449266,5800.575792187553,0.000727768799723164,11  1,0.25  0.75,0.784292932883705,1483.0,0,True,2.1829519271850586,15694,1.898551836690822e-05,2737.777534237597,1.1556068375077935e-17,0.0,4.032882393660468e-06,20491570.794552445,True,False,True,True,sin_impulse_logf,NH3,-463592.8373518308,4.717384890298803,1.0,6.66953401185611e-05,0.0,308.70114871449266,0.0,5.625825913713486e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.875275304571162e-05,6.669534611482405e-05,-6.235852347069883e-13,308.701148717577,9.298971176035953e-12,5.625825009475681e-05,2.0940174812777574e-12,8.429601963757031e-28,1.1676735417764692e-24,4.232130644145584e-15,1.16395948202041e-22,1.4380241561796846e-17,5.051248028240635e-13,4.0248800874708906e-19,1.2445310195361754e-28,1.875275012590487e-05
6681,6.66953401185611e-05,1.0,190836.87739254077,0.27766762730352834,308.70114871449266,5800.575792187553,0.000727768799723164,11  1,0.25  0.75,0.784292932883705,1483.0,0,True,2.1466212272644043,15213,1.8985453937577118e-05,2737.763140953846,1.1554142164785346e-17,0.0,4.032852453114184e-06,20494834.821508728,True,False,True,True,sin_impulse_logf,NH3,-463593.2426518308,4.717386890298803,1.0,6.66953401185611e-05,0.0,308.70114871449266,0.0,5.625825913713486e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.875275304571162e-05,6.669534673365894e-05,-5.036865060662567e-13,308.70114871696273,9.297420928658551e-12,5.625825038045391e-05,1.7634799047564721e-12,8.428273939705365e-28,1.598973577134941e-24,4.231381338045872e-15,9.802302221046567e-23,1.4468442653819027e-17,5.051029709002816e-13,4.0247061364157977e-19,1.6343396195630046e-28,1.8752750166058977e-05
6681,4.617227989995893e-05,1.0,183957.72101288204,0.27766762730352834,308.71639115067245,5800.575792187553,0.000727768799723164,11  1,0.25  0.75,0.7842812350414909,1483.0,0,True,2.2101759910583496,14464,2.0081558017395664e-05,4424.151221098476,9.661022987989145e-14,0.0,4.074040332245937e-06,2476.121806506623,True,False,True,True,sin_impulse_logf,NH3,-465144.26837665786,4.6627889612575055,1.0,4.617227989995893e-05,0.0,308.71639115067245,0.0,5.446527289937308e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8155090966457692e-05,4.6122343509702105e-05,-4.773628434317666e-13,308.71639115407635,2.3507173253653503e-07,5.4289721443280836e-05,-7.533198955977856e-18,-3.191929893062842e-23,2.7371921097546184e-22,5.704587607878426e-12,-4.195271440528606e-28,1.0747020372217341e-12,4.920670534107437e-11,3.702120358876912e-17,1.2354982724156967e-20,1.809654600052042e-05
6681,4.617227989995893e-05,1.0,183957.72101288204,0.27766762730352834,308.71639115067245,5800.575792187553,0.000727768799723164,11  1,0.25  0.75,0.7842812350414909,1483.0,0,True,1.935105562210083,14464,2.0081558017395664e-05,4424.151221098476,9.661022987989145e-14,0.0,4.074040332245937e-06,2476.121806506623,True,False,True,True,sin_impulse_logf,NH3,-465144.26837665786,4.6627889612575055,1.0,4.617227989995893e-05,0.0,308.71639115067245,0.0,5.446527289937308e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8155090966457692e-05,4.6122343509702105e-05,-4.773628434317666e-13,308.71639115407635,2.3507173253653503e-07,5.4289721443280836e-05,-7.533198955977856e-18,-3.191929893062842e-23,2.7371921097546184e-22,5.704587607878426e-12,-4.195271440528606e-28,1.0747020372217341e-12,4.920670534107437e-11,3.702120358876912e-17,1.2354982724156967e-20,1.809654600052042e-05
