ID,R_E,ratio,P_amb,alfa_M,T_inf,P_v,mu_L,gases,fractions,surfactant,c_L,error_code,success,elapsed_time,steps,collapse_time,T_max,n_NH3,expansion_work,dissipated_acoustic_energy,energy_efficiency,enable_heat_transfer,enable_evaporation,enable_reactions,enable_dissipated_energy,excitation_type,target_specie,p_A,freq,n,R_0,R_dot_0,T_0,c_NH3_0,c_H2_0,c_H_0,c_NH2_0,c_NH_0,c_N_0,c_NNH_0,c_N2H4_0,c_N2H3_0,c_N2H2_0,c_H2NN_0,c_N2_0,R_last,R_dot_last,T_last,c_NH3_last,c_H2_last,c_H_last,c_NH2_last,c_NH_last,c_N_last,c_NNH_last,c_N2H4_last,c_N2H3_last,c_N2H2_last,c_H2NN_last,c_N2_last
4600,0.00021275742166907208,1.0,5066.25,0.35,293.15,2338.1,0.001,11  1,0.25  0.75,1.0,2849.8172991584534,0,True,16.978865146636963,86781,0.00011060541309541584,5152.323875520186,1.1974917326557798e-11,0.0,1.2264017018973583e-05,60.13537409460479,True,False,True,True,sin_impulse,NH3,-414818.0742792559,17009.53504508784,1.0,0.00021275742166907208,0.0,293.15,0.0,1.767098022482025e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.89032674160675e-07,0.00020303604751476965,6.4658112101425115e-09,293.14999998071204,3.415580009634865e-07,1.5208829566794292e-06,3.3307976208993414e-20,7.285456139906122e-25,7.759145585827913e-30,4.39262405878044e-18,3.7647849246483265e-30,2.4413954846836958e-11,5.109939551825991e-12,1.6395775353955153e-21,7.618114191281211e-15,5.069502875241448e-07
4600,0.00021275767591479394,1.0,5066.25,0.35,293.15,2338.1,0.001,11  1,0.25  0.75,1.0,2849.8172991584534,0,True,16.96509623527527,86959,0.00011060547107860817,5152.316218609347,1.1974924682298449e-11,0.0,1.2264015506535419e-05,60.135329739648434,True,False,True,True,sin_impulse,NH3,-414818.0742792559,17009.53504508784,1.0,0.00021275767591479394,0.0,293.15,0.0,1.767097773709444e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.890325912364813e-07,0.00020303630739132629,7.1472548124100265e-09,293.1499999784761,3.415568992378981e-07,1.5208835022217628e-06,3.3312349675959474e-20,7.286167011277214e-25,7.759295966363575e-30,4.392674970869096e-18,3.765220605008478e-30,2.441374246747711e-11,5.109901581070289e-12,1.6395633135093201e-21,7.617955787662432e-15,5.069504694614822e-07
4600,0.00021275742166907208,1.0,5066.25,0.35,293.15,2338.1,0.001,11  1,0.25  0.75,1.0,2849.8179633870086,0,True,15.440834045410156,87513,0.00011060541324206325,5152.3238130407435,1.1974919129895725e-11,0.0,1.2264017078631318e-05,60.13536533116943,True,False,True,True,sin_impulse,NH3,-414818.0742792559,17009.53504508784,1.0,0.00021275742166907208,0.0,293.15,0.0,1.767098022482025e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.89032674160675e-07,0.00020303604943122902,7.459634598757669e-09,293.14999997740927,3.4155804272779807e-07,1.5208829204125298e-06,3.330772601919406e-20,7.285414963550518e-25,7.759140765793441e-30,4.392623407343345e-18,3.764761278106296e-30,2.4413962739586592e-11,5.109941846121874e-12,1.6395784227383964e-21,7.618126693152359e-15,5.069502754313858e-07
4600,0.00021275742166907208,1.0,5066.25,0.35,293.15,2338.1,0.001,11  1,0.25  0.75,1.0,2849.8172991584534,0,True,19.14633345603943,87849,0.00011060543014790936,5152.318876705971,1.1974899407518944e-11,0.0,1.2263989196814908e-05,60.13532765680992,True,False,True,True,sin_impulse,NH3,-414817.6502252464,17009.53504508784,1.0,0.00021275742166907208,0.0,293.15,0.0,1.767098022482025e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.89032674160675e-07,0.00020303606084219933,-2.1157682762906715e-10,293.14999999977886,3.4155742260236453e-07,1.5208833605998292e-06,3.3310042992066386e-20,7.28579030838402e-25,7.759215422735702e-30,4.392647281118222e-18,3.7649861053691295e-30,2.4413859328997574e-11,5.1099219336708e-12,1.639570828053324e-21,7.618026436648373e-15,5.069504222050129e-07
4600,0.00021275742166907208,1.0,5066.25,0.35,293.15,2338.1,0.001,11  1,0.25  0.75,1.0,2849.8172991584534,0,True,16.524466037750244,87356,0.00011060531243793612,5152.312671580225,1.1974878470428812e-11,0.0,1.2263956233980376e-05,60.13527116801588,True,False,True,True,sin_impulse,NH3,-414818.0742792559,17009.5624529501,1.0,0.00021275742166907208,0.0,293.15,0.0,1.767098022482025e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.89032674160675e-07,0.0002030360817673603,3.3660226971895293e-09,293.1499999904719,3.415567198144942e-07,1.52088388379145e-06,3.331264170993663e-20,7.286210948487084e-25,7.759303109338327e-30,4.392676402843571e-18,3.7652395112482935e-30,2.441374013251344e-11,5.1098998252517805e-12,1.6395624208431902e-21,7.617917289850234e-15,5.069505966530687e-07
4600,0.00021368456204818234,1.0,5066.25,0.35,293.15,2338.1,0.001,11  1,0.25  0.75,1.0,2850.295864910295,0,True,16.09081220626831,86661,0.0001100485502827949,5011.007465144937,1.1190670221200813e-11,0.0,1.1672727802515142e-05,61.247174298855896,True,False,True,True,sin_impulse,NH3,-413199.09068264836,17241.46264246328,1.0,0.00021368456204818234,0.0,293.15,0.0,1.7661947756537075e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.887315918845691e-07,0.0002047076133606757,5.686854841108253e-09,293.14999998210556,3.1143362684512845e-07,1.5416974407074638e-06,5.009192172839521e-19,2.1995931845802095e-24,1.2744984068779084e-29,6.072823661064977e-18,3.7554995982375213e-29,1.9961410996240472e-11,4.3604004043323214e-12,1.3581778437131776e-21,4.17928409946252e-15,5.138903101094843e-07
4600,0.0002132209918586272,1.0,5066.25,0.35,293.15,2338.1,0.001,11  1,0.25  0.75,1.0,2850.056582034374,0,True,16.708152770996094,87252,0.00011032227952121351,5082.023681969986,1.1698398202300297e-11,0.0,1.1959708733791293e-05,60.02939950860447,True,False,True,True,sin_impulse,NH3,-414008.5824809521,17125.49884377556,1.0,0.0002132209918586272,0.0,293.15,0.0,1.7666454171797796e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.888818057265932e-07,0.0002037765504180508,7.309194707120123e-09,293.1499999779704,3.300465311465576e-07,1.5287248762245087e-06,1.0433772180252219e-19,1.448265138067351e-24,9.355051029833612e-30,4.9389437802124434e-18,1.0047696751679973e-29,2.258148346319572e-11,4.790015140553869e-12,1.5186436167348292e-21,6.108572440820009e-15,5.095650324979536e-07
4600,0.00021322124610434907,1.0,5066.25,0.35,293.15,2338.1,0.001,11  1,0.25  0.75,1.0,2850.056582034374,0,True,17.29502820968628,87038,0.00011032233801992762,5082.015675275092,1.1698387256025446e-11,0.0,1.1959708181482318e-05,60.02945290638683,True,False,True,True,sin_impulse,NH3,-414008.5824809521,17125.49884377556,1.0,0.00021322124610434907,0.0,293.15,0.0,1.7666451694877495e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.888817231625832e-07,0.00020377684661451007,-3.649194454281421e-09,293.1500000119193,3.30044783122095e-07,1.528725876494292e-06,1.0435587323290586e-19,1.4483800757361526e-24,9.355336738403498e-30,4.93904079474175e-18,1.0049207318761135e-29,2.2581193727869882e-11,4.7899661060700575e-12,1.518625327239247e-21,6.1083672686053176e-15,5.095653660424195e-07
4600,0.0002132209918586272,1.0,5066.25,0.35,293.15,2338.1,0.001,11  1,0.25  0.75,1.0,2850.0572462629293,0,True,16.380696773529053,87389,0.00011032227957524191,5082.02395814747,1.1698402362033734e-11,0.0,1.1959708897108378e-05,60.02937898300854,True,False,True,True,sin_impulse,NH3,-414008.5824809521,17125.49884377556,1.0,0.0002132209918586272,0.0,293.15,0.0,1.7666454171797796e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.888818057265932e-07,0.00020377656191141334,7.163676944067387e-09,293.1499999777312,3.3004659265932223e-07,1.5287248101322977e-06,1.0433702222520143e-19,1.4482606960838248e-24,9.355044703117044e-30,4.938942610395177e-18,1.0047643355196894e-29,2.258149195030121e-11,4.790017037050725e-12,1.518644368597939e-21,6.1085845298539624e-15,5.095650104633955e-07
4600,0.0002132209918586272,1.0,5066.25,0.35,293.15,2338.1,0.001,11  1,0.25  0.75,1.0,2850.056582034374,0,True,15.727123260498047,86779,0.00011032229681446688,5082.01812407292,1.1698367303720456e-11,0.0,1.1959682265856382e-05,60.0294252116964,True,False,True,True,sin_impulse,NH3,-414008.1584269426,17125.49884377556,1.0,0.0002132209918586272,0.0,293.15,0.0,1.7666454171797796e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.888818057265932e-07,0.0002037765853012592,7.440193778800938e-09,293.14999997755547,3.300454899107429e-07,1.5287256198644549e-06,1.0434744863085871e-19,1.4483261259967877e-24,9.355206518906708e-30,4.938996994126023e-18,1.004849167448075e-29,2.2581331359345162e-11,4.7899894823271885e-12,1.5186339223073624e-21,6.108449676443714e-15,5.095652804415106e-07
