ID,R_E,ratio,P_amb,alfa_M,T_inf,P_v,mu_L,gases,fractions,surfactant,c_L,error_code,success,elapsed_time,steps,collapse_time,T_max,n_NH3,expansion_work,dissipated_acoustic_energy,energy_efficiency,enable_heat_transfer,enable_evaporation,enable_reactions,enable_dissipated_energy,excitation_type,target_specie,R_0,R_dot_0,T_0,c_NH3_0,c_H2_0,c_H_0,c_NH2_0,c_NH_0,c_N_0,c_NNH_0,c_N2H4_0,c_N2H3_0,c_N2H2_0,c_H2NN_0,c_N2_0,R_last,R_dot_last,T_last,c_NH3_last,c_H2_last,c_H_last,c_NH2_last,c_NH_last,c_N_last,c_NNH_last,c_N2H4_last,c_N2H3_last,c_N2H2_last,c_H2NN_last,c_N2_last
1,0.00012985843114282045,9.325251281748562,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,200,True,5.08998441696167,18728,0.00011051536997095042,7449.062886120064,1.4699595690778962e-12,0.0007477858897653138,0.00046373202499505324,48394.30385466354,True,False,True,True,no_excitation,NH3,0.0012109625014604438,0.0,303.15,0.0,3.758631604977551e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2528772016591836e-08,0.00012968693273763908,-1.1185874107911441e-12,303.15000001252656,1.608896563929585e-07,3.0359515623930944e-05,-4.940933406670591e-16,6.646156998030709e-24,3.1668444636600184e-22,3.710342767427793e-12,-2.18650328157226e-26,1.7665946941840073e-13,3.0809106354027736e-12,7.776700740602535e-19,1.756841841040199e-22,1.0119835086714327e-05
6,0.0008333629318270393,1.5090862954182878,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,0,True,8.260274648666382,34325,0.00014988557961477967,596.9298340324015,3.5535448954528075e-32,0.00029559762469753777,0.000518550231771635,1.3452756251703725e+24,True,False,True,True,no_excitation,NH3,0.0012576165795297899,0.0,303.15,0.0,8.787871779282756e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.929290593094252e-06,0.0008333629279806635,3.9135248523908335e-19,303.15,1.4657863272098924e-29,3.020132084190137e-05,9.419807194466775e-27,1.8174853831741037e-33,5.765371730828721e-43,3.280932396789468e-55,4.146798435043805e-37,9.56630096043995e-39,-9.049219721703846e-37,-1.72187167387353e-32,-1.7660421193307216e-33,1.006710694730069e-05
0,0.0007226338752477726,2.5741739105223016,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,0,True,14.238147258758545,55260,0.0001812373677567563,1788.0675493821836,1.0462086420415978e-22,0.0021192446224424007,0.0017699247846152154,2182771898710072.2,True,False,True,True,no_excitation,NH3,0.0018601852685224437,0.0,303.15,0.0,1.7710283530855873e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.903427843618624e-07,0.0007226339860451716,-7.466996412680718e-12,303.15000020421957,6.618728169959713e-20,3.0209193669881044e-05,2.6490525589336917e-12,2.7546766135524585e-36,9.365803550535847e-32,1.696926224518519e-21,1.1664727349418103e-22,3.401033769812928e-21,4.324207687581777e-18,1.0850788137910983e-24,6.913679340876025e-29,1.0069731664800393e-05
5,0.0006046710268018832,5.37803600816748,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,200,True,14.975426197052002,54601,0.0002984117113866365,5649.376823037862,5.855662124381809e-11,0.014036705056087125,0.006028491926667462,20120.427973608836,True,False,True,True,no_excitation,NH3,0.0032519425552361312,0.0,303.15,0.0,1.942827518693701e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.476091728979003e-08,0.0006043544847462991,-7.260053728423835e-12,303.1500001830213,6.33303885689185e-08,3.0173295964745446e-05,1.659402244476902e-12,2.634761952600731e-24,8.022736803407299e-23,1.1487511120141467e-12,7.298262886533137e-23,5.505801336867779e-15,3.947844183005628e-13,9.908885840846535e-20,2.2805940560624885e-25,1.0057764824545426e-05
3,0.0007987670128187505,9.136703560338553,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,200,True,21.877876043319702,86334,0.0006664581151274069,8567.567710347172,6.119507186818099e-11,0.16337424225183161,0.09271859911240893,245725.81591161207,True,False,True,True,no_excitation,NH3,0.007298097409902069,0.0,303.15,0.0,3.959946714028326e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3199822380094417e-08,0.0007985775968321895,1.8306813929127285e-09,303.1500003515609,2.868642792574732e-08,3.0182042271996223e-05,2.4824286197437236e-12,1.1941350129063054e-24,3.0320169400637915e-23,5.552333439830341e-13,1.0921199274913036e-22,7.73743552106161e-16,1.264258658109945e-13,3.1720291303605744e-20,2.2410423127540305e-26,1.006068082998267e-05
2,0.0009684639520206804,6.589910112866401,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,200,True,21.985477209091187,79426,0.0005840651029283467,6935.028695454546,1.2452294285853063e-10,0.10779659493148974,0.048066687610345334,73496.09061701632,True,False,True,True,no_excitation,NH3,0.006382090391367643,0.0,303.15,0.0,1.0550774823075026e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.516924941025009e-08,0.0009682016172177842,-5.116292848279879e-09,303.1500005044623,3.2753925387036044e-08,3.0169595393768273e-05,2.506289361868144e-12,1.363877767222599e-24,2.3315871765988567e-23,4.245101278222844e-13,1.102162517340255e-22,9.323415258146415e-16,1.1951708256296786e-13,2.9980715559404176e-20,2.396536213411804e-26,1.005653194331379e-05
11,0.00022823495064252196,8.082428618025798,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,200,True,7.068654537200928,23729,0.00016848242797035432,7193.7889481072525,5.210480872820922e-12,0.002630417743351729,0.001452382888325136,46009.78073298556,True,False,True,True,no_excitation,NH3,0.001844692696706825,0.0,303.15,0.0,5.745864429276248e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9152881430920827e-08,0.00022803764601349007,-1.3918165364106125e-12,303.1500000262896,1.0489856545391902e-07,3.025907124562977e-05,2.2176893991664824e-14,4.355652843423095e-24,2.8439154709288694e-22,2.9747313644406257e-12,9.781437350869515e-25,5.080215865174457e-14,3.100186365776939e-12,7.802344074978787e-19,1.5790700691458504e-22,1.0086354031179433e-05
9,0.0009160546663543696,9.698730220877069,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,200,True,14.460899591445923,53310,0.0008111921125239637,8965.673144649189,9.152848893198906e-11,0.2951726893308007,0.17368215602246145,300782.04813689855,True,False,True,True,no_excitation,NH3,0.008884567076546585,0.0,303.15,0.0,3.3098977713754305e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1032992571251437e-08,0.0009158391975528013,-1.2040571517176691e-11,303.1500004130938,2.8445266146594602e-08,3.0175356019232942e-05,2.592620303792875e-12,1.184365404801165e-24,2.4182089112573453e-23,4.551648444235919e-13,1.1403449546070073e-22,7.094898160144717e-16,9.70822074293151e-14,2.4354301094963236e-20,1.6370791178814636e-26,1.0058452162154153e-05
7,0.0008253174689382394,8.556028773556784,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,200,True,23.29844331741333,84472,0.0006450200366779034,8248.233046107474,6.907499722156631e-11,0.14771294018713715,0.0798057824016811,193404.27115070383,True,False,True,True,no_excitation,NH3,0.0070614400115546335,0.0,303.15,0.0,4.8218803796108734e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6072934598702915e-08,0.0008251172088343756,-8.121136206081408e-10,303.1500004240018,2.9355219489371446e-08,3.017981559997158e-05,2.485984710529926e-12,1.2220447252732458e-24,2.9006661050566694e-23,5.304169103679674e-13,1.093603711584648e-22,7.990519513702193e-16,1.2539613726443762e-13,3.146074564423121e-20,2.2714416733915302e-26,1.0059938619481443e-05
4,0.0006191874495415036,5.709605034708022,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,200,True,23.315083980560303,93754,0.00032407704654672316,5981.024311963912,5.7283300542308314e-11,0.01813622041107317,0.0078381277674373,26624.8040958077,True,False,True,True,no_excitation,NH3,0.0035353157793301883,0.0,303.15,0.0,1.6235411410763408e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.411803803587803e-08,0.0006188921646521101,-3.2393258754425906e-09,303.15000024029814,5.768919389927786e-08,3.0175862053732487e-05,1.8160086450306619e-12,2.400201012318989e-24,7.261004918847291e-23,1.103441841684964e-12,7.987716601304833e-23,4.26542147387634e-15,3.458073828546195e-13,8.679271767474527e-20,1.6725197702125893e-25,1.0058620261199022e-05
