ID,R_E,ratio,P_amb,alfa_M,T_inf,P_v,mu_L,gases,fractions,surfactant,c_L,error_code,success,elapsed_time,steps,collapse_time,T_max,n_NH3,expansion_work,dissipated_acoustic_energy,energy_efficiency,enable_heat_transfer,enable_evaporation,enable_reactions,enable_dissipated_energy,excitation_type,target_specie,R_0,R_dot_0,T_0,c_NH3_0,c_H2_0,c_H_0,c_NH2_0,c_NH_0,c_N_0,c_NNH_0,c_N2H4_0,c_N2H3_0,c_N2H2_0,c_H2NN_0,c_N2_0,R_last,R_dot_last,T_last,c_NH3_last,c_H2_last,c_H_last,c_NH2_last,c_NH_last,c_N_last,c_NNH_last,c_N2H4_last,c_N2H3_last,c_N2H2_last,c_H2NN_last,c_N2_last
2592,0.00018479632559195806,4.680576067779155,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,200,True,4.636842966079712,19145,7.953392669633219e-05,4514.708659563386,5.230377243300657e-12,0.0002601221994505966,0.00012100796512427155,4278.6829350625585,True,False,True,True,no_excitation,NH3,0.0008649532589792434,0.0,303.15,0.0,2.9628802536103096e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.876267512034366e-08,0.00018449422863438253,-8.47745760083339e-13,303.1500000177391,1.9883647219490356e-07,3.0232946474560406e-05,-2.7538567178715552e-14,8.22471775036422e-24,3.1726667144159135e-22,3.1993397390354878e-12,-1.2135788680840728e-24,1.879431501919715e-13,2.7373939803281666e-12,6.894900289037415e-19,1.6118954056807142e-22,1.0077645789248671e-05
2592,0.00018479640103563107,4.680576067779155,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,200,True,5.069662570953369,21087,7.95339590540493e-05,4514.708765123501,5.230382699402231e-12,0.0002601225178131076,0.00012100811212017959,4278.683695981104,True,False,True,True,no_excitation,NH3,0.0008649536120990939,0.0,303.15,0.0,2.9628802443826993e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.876267481275664e-08,0.00018449430563926647,-1.251145387880393e-12,303.15000001947607,1.9883643063908519e-07,3.0232946368478325e-05,1.2234586855761693e-14,8.230183830722048e-24,3.0929637998462793e-22,3.212795245763353e-12,5.462221259312843e-25,1.8749149286945745e-13,2.737790945272591e-12,6.90302346912348e-19,5.197195606109353e-17,1.0077645753706637e-05
2592,0.00018479632559195806,4.680576861995797,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,200,True,4.054526329040527,19263,7.953393970932224e-05,4514.7094683449795,5.230379278768155e-12,0.00026012233811816893,0.00012100802181412611,4278.683463100522,True,False,True,True,no_excitation,NH3,0.0008649534057475606,0.0,303.15,0.0,2.962878745354933e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.876262484516444e-08,0.00018449422883621357,-1.8817633145259783e-12,303.15000002297194,1.988365489220698e-07,3.0232946301018405e-05,1.002430227030068e-13,8.227940712930784e-24,2.861327642611477e-22,3.212451409888921e-12,4.4175433018406086e-24,1.87671356592872e-13,2.7376678264756873e-12,6.8959314568080865e-19,1.4740712188822672e-22,1.007764574609626e-05
2592,0.00018417650981754965,4.676048074622074,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,200,True,4.355721712112427,19182,7.919220123864367e-05,4508.716679419916,5.17410746955422e-12,0.000256733534250462,0.00011948950026538852,4269.526694137745,True,False,True,True,no_excitation,NH3,0.0008612182141229665,0.0,303.15,0.0,2.9715720827992796e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9052402759976e-08,0.00018387565329306668,-1.3054951118384274e-12,303.1500000198247,1.9868914893336294e-07,3.0233837892664787e-05,1.4672242558892397e-14,8.22426658911146e-24,3.110252137552876e-22,3.245444413737995e-12,6.4660039937497e-25,1.866033050173789e-13,2.7236408212430276e-12,6.860384599039585e-19,2.1517992845596913e-22,1.0077942919922716e-05
2592,0.00018417650981754965,4.676048074622074,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,200,True,4.532631158828735,19182,7.919220123864367e-05,4508.716679419916,5.17410746955422e-12,0.000256733534250462,0.00011948950026538852,4269.526694137745,True,False,True,True,no_excitation,NH3,0.0008612182141229665,0.0,303.15,0.0,2.9715720827992796e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9052402759976e-08,0.00018387565329306668,-1.3054951118384274e-12,303.1500000198247,1.9868914893336294e-07,3.0233837892664787e-05,1.4672242558892397e-14,8.22426658911146e-24,3.110252137552876e-22,3.245444413737995e-12,6.4660039937497e-25,1.866033050173789e-13,2.7236408212430276e-12,6.860384599039585e-19,2.1517992845596913e-22,1.0077942919922716e-05
2592,0.00018417658526122266,4.676048074622074,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,200,True,4.711583137512207,19188,7.91922333242769e-05,4508.716817433721,5.174112826420049e-12,0.00025673384952211995,0.00011948964566847101,4269.527501721011,True,False,True,True,no_excitation,NH3,0.0008612185669012083,0.0,303.15,0.0,2.971572073482446e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.905240244941487e-08,0.0001838757291960923,-1.323321889567823e-12,303.1500000194088,1.986891085865962e-07,3.0233837839794664e-05,1.427591602015373e-14,8.221970470077345e-24,3.047929085288517e-22,3.211411546805057e-12,6.29134410461486e-25,1.8708845285233332e-13,2.7231562898011342e-12,6.717545895505761e-19,6.644779670665715e-23,1.0077942919330252e-05
2592,0.00018417650981754965,4.676048868838715,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,200,True,4.298081636428833,19279,7.919221408636936e-05,4508.717523578142,5.17410975455511e-12,0.0002567336712589422,0.00011948955562908867,4269.52699173473,True,False,True,True,no_excitation,NH3,0.0008612183603990156,0.0,303.15,0.0,2.97157056865454e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.905235228848468e-08,0.00018387565418587679,-1.4053407305850409e-12,303.1500000203971,1.9868923378469552e-07,3.023383781843473e-05,4.002312718630075e-14,8.225300991724631e-24,3.0045306973810035e-22,3.2110088548598047e-12,1.763804877348933e-24,1.866866922103553e-13,2.7235596393468107e-12,6.860165892280776e-19,-1.986484450143941e-23,1.0077942916635178e-05
2592,0.00018346860816128554,4.673301886385954,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,200,True,4.876579284667969,19757,7.884233377917684e-05,4504.430816796144,5.1159608608565545e-12,0.0002533186111787735,0.00011794022050904681,4261.076945201828,True,False,True,True,no_excitation,NH3,0.0008574041926127413,0.0,303.15,0.0,2.976901660410556e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.923005534701854e-08,0.0001831688398797484,-1.494493919259715e-12,303.1500000210952,1.9873932922306593e-07,3.0234699067818653e-05,6.167085814966571e-14,8.223701879688124e-24,3.005878095391402e-22,3.212474128684977e-12,2.7178896203813832e-24,1.8636839192677024e-13,2.7131578357394427e-12,6.834112850350862e-19,8.581709519892826e-23,1.0078230007945626e-05
2592,0.00018346860816128554,4.673301886385954,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,200,True,4.349504709243774,19757,7.884233377917684e-05,4504.430816796144,5.1159608608565545e-12,0.0002533186111787735,0.00011794022050904681,4261.076945201828,True,False,True,True,no_excitation,NH3,0.0008574041926127413,0.0,303.15,0.0,2.976901660410556e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.923005534701854e-08,0.0001831688398797484,-1.494493919259715e-12,303.1500000210952,1.9873932922306593e-07,3.0234699067818653e-05,6.167085814966571e-14,8.223701879688124e-24,3.005878095391402e-22,3.212474128684977e-12,2.7178896203813832e-24,1.8636839192677024e-13,2.7131578357394427e-12,6.834112850350862e-19,8.581709519892826e-23,1.0078230007945626e-05
2592,0.00018346868360495856,4.673301886385954,101325.0,0.35,303.15,2338.1,0.001,11  1,0.25  0.75,1.0,1483.0,200,True,4.4071877002716064,19124,7.884236670173517e-05,4504.430988191049,5.1159659868992994e-12,0.0002533189234561867,0.0001179403646835676,4261.077914596878,True,False,True,True,no_excitation,NH3,0.0008574045451838006,0.0,303.15,0.0,2.976901651005125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.923005503350416e-08,0.00018316891306868665,-1.188819204623571e-12,303.1500000188454,1.9873929012263892e-07,3.02346990527589e-05,-2.286260158429957e-15,8.226361137764616e-24,3.1446591254317974e-22,3.231406603659023e-12,-1.0075751151087721e-25,1.8655082772317273e-13,2.71297536275047e-12,6.833654153939298e-19,1.756751030497515e-22,1.0078229982830086e-05
