ID,R_E,ratio,P_amb,alfa_M,T_inf,P_v,mu_L,rho_L,gases,fractions,surfactant,c_L,error_code,success,elapsed_time,steps,collapse_time,T_max,n_NH3,expansion_work,dissipated_acoustic_energy,energy_efficiency,enable_heat_transfer,enable_evaporation,enable_reactions,enable_dissipated_energy,excitation_type,target_specie,p_A,freq,n,R_0,R_dot_0,T_0,c_NH3_0,c_H2_0,c_H_0,c_NH2_0,c_NH_0,c_N_0,c_NNH_0,c_N2H4_0,c_N2H3_0,c_N2H2_0,c_H2NN_0,c_N2_0,R_last,R_dot_last,T_last,c_NH3_last,c_H2_last,c_H_last,c_NH2_last,c_NH_last,c_N_last,c_NNH_last,c_N2H4_last,c_N2H3_last,c_N2H2_last,c_H2NN_last,c_N2_last
7,0.00026803412176127094,1.0,50662.5,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.19461822509765625,3465,6.199788363039452e-05,342.9867868705982,-1.3022242097455435e-52,0.0,7.238439965804532e-07,1e+30,True,False,True,True,sin_impulse,NH3,-442204.95740573254,71390.74303324083,1.0,0.00026803412176127094,0.0,293.15,0.0,1.5754448904030605e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.251482968010201e-06,0.00026803412096443834,2.0508649363633403e-19,293.15,-1.614458571148852e-48,1.5754448904521847e-05,7.683972476664452e-26,-8.558769359629117e-50,-2.9932694238459324e-61,9.843541080169246e-70,2.218793780393012e-36,-1.3879409995125199e-59,-3.700009383378443e-37,-2.1049303605118287e-31,-6.272973215444769e-33,5.251482968173963e-06
12,0.00036748826156142596,1.0,50662.5,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.16250228881835938,3010,8.43989302854631e-05,304.95041374021974,3.524125453010472e-36,0.0,1.1880652840540079e-07,1.9795147483994272e+24,True,False,True,True,sin_impulse,NH3,-256061.967529979,81776.32629988733,1.0,0.00036748826156142596,0.0,293.15,0.0,1.5709728252284074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2365760840946915e-06,0.00036748826131098513,2.4785357324905168e-20,293.15,1.695244476409691e-32,1.5709728252366246e-05,2.9113709514233456e-23,-2.8929549774617307e-47,-1.3485605440263201e-55,-3.239590607832761e-64,8.382897198408235e-34,-6.082078675369047e-54,-2.248729445063141e-31,-7.193390081796027e-29,-2.1302850425427503e-30,5.236576084122033e-06
3,0.0003033954894674163,1.0,50662.5,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.21168804168701172,4228,7.326899125485214e-05,412.1246838907147,-3.448884219317968e-48,0.0,3.4941513015496268e-06,1e+30,True,False,True,True,sin_impulse,NH3,-355997.54937527375,40006.74034919774,1.0,0.0003033954894674163,0.0,293.15,0.0,1.5735189241885614e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.245063080628537e-06,0.00030339548826987937,3.326114071199086e-20,293.15,-2.9482387583341076e-44,1.5735189242461858e-05,1.3814379589171175e-23,-1.6406288362545813e-46,-2.9541216292010996e-55,-3.170102751674802e-64,3.984109617239044e-34,-9.381159446040498e-51,-4.588534226968766e-32,-3.438691432916174e-29,-1.0214647572256905e-30,5.2450630808205885e-06
2,0.00033145072594462083,1.0,50662.5,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.21768498420715332,3984,8.191469588856876e-05,365.22604538468335,4.9882959470113175e-36,0.0,2.0985839725649324e-06,2.470267226032629e+25,True,False,True,True,sin_impulse,NH3,-233566.678613463,36748.462032206866,1.0,0.00033145072594462083,0.0,293.15,0.0,1.5722832480675584e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.240944160225194e-06,0.0003314507249316145,3.3606008445556904e-21,293.15,3.270443739958094e-32,1.5722832481084013e-05,1.0096009340757008e-24,-1.3367267679082212e-48,1.5270145253737086e-56,-4.706273016437863e-66,2.909433627692651e-35,2.4400684540546384e-53,4.2280596408909193e-32,-3.0088696731705972e-30,-8.919997564528166e-32,5.240944160361314e-06
22,0.0004066789352604986,1.0,50662.5,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.19460511207580566,3685,9.022463441845735e-05,316.9703721773015,-1.26629626197528e-34,0.0,5.556268636330287e-07,1e+30,True,False,True,True,sin_impulse,NH3,-535941.4796734116,77724.23066877467,1.0,0.0004066789352604986,0.0,293.15,0.0,1.5698113595120626e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.232704531706876e-06,0.0004066789349623066,8.905425875371532e-21,293.15,-4.494606577205358e-31,1.569811359520048e-05,-4.8531666351534736e-26,-1.6554061930359163e-50,1.6334144049516307e-60,-6.504638860067784e-69,-1.3963702704257808e-36,1.045466281876077e-56,3.550331851032175e-34,-3.86207845758293e-32,-1.2166723422311391e-33,5.232704531733503e-06
23,0.0004388812194235544,1.0,50662.5,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.22060489654541016,4008,0.00010171419037867953,318.66178244655873,7.886223262580501e-35,0.0,7.483322732018324e-07,5.57179595400049e+23,True,False,True,True,sin_impulse,NH3,-269361.9343059988,49776.62645221452,1.0,0.0004388812194235544,0.0,293.15,0.0,1.56901224904702e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.230040830156733e-06,0.0004388812190606178,2.87172250810584e-20,293.15,2.2270987231921266e-31,1.569012249055364e-05,-1.457196937027905e-24,1.530513330146716e-48,-6.548658852212481e-56,-2.8990671011460167e-65,-4.1905642819565203e-35,-2.4128765560476037e-54,-8.244555286275189e-32,3.8580973130390566e-30,1.123284512092553e-31,5.230040830184568e-06
10,0.00016783795979652996,1.0,50662.5,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.3099019527435303,5898,4.6693048704975615e-05,708.8166160963852,4.742464036491303e-36,0.0,3.5247526613569196e-06,4.3640970219331495e+25,True,False,True,True,sin_impulse,NH3,-307637.52989676094,38277.72087952657,1.0,0.00016783795979652996,0.0,293.15,0.0,1.5853097208338844e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.284365736112948e-06,0.00016783796901138822,-9.6331002388795e-21,293.15,2.394665130220577e-31,1.5853097193850254e-05,7.777873176853659e-24,-5.831479520409668e-41,-6.65249354199301e-50,3.913787109579833e-58,2.259971190335393e-34,1.7914380144003365e-42,1.7802647790373035e-32,-1.8343958945361485e-29,-5.382118309451495e-31,5.284365731283377e-06
21,0.0004577323103611878,1.0,50662.5,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.33660030364990234,6210,0.00011169495188164545,483.853503876856,3.8626753388758046e-47,0.0,2.0335347447556902e-05,3.091243288874182e+37,True,False,True,True,sin_impulse,NH3,-355415.4520685992,22547.397346180383,1.0,0.0004577323103611878,0.0,293.15,0.0,1.5685966287609e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2286554292029995e-06,0.00045773230997235337,-1.3516760519710312e-19,293.15,9.61534541912273e-44,1.5685966287691253e-05,-1.456234117753977e-24,7.943081814484345e-47,5.0727113442387365e-56,1.0942195964492226e-64,-4.186686116987054e-35,9.253284007667336e-50,1.3128665389347178e-32,7.153957909327541e-30,2.090941372851933e-31,5.228655429230348e-06
26,0.00038943734787955976,1.0,50662.5,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.17560839653015137,3301,8.82925435310254e-05,310.4135600358882,-9.22135813716333e-37,0.0,2.7786950738285757e-07,1e+30,True,False,True,True,sin_impulse,NH3,-392867.2682827853,80362.03926673188,1.0,0.00038943734787955976,0.0,293.15,0.0,1.5702935368396737e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.234311789465579e-06,0.0003894373476815531,-3.808235054089725e-20,293.15,-3.7272925724634026e-33,1.5702935368454593e-05,6.134080154234517e-24,-6.79538525360871e-48,1.8523422276275715e-57,-3.2792538446876785e-65,1.7654613447856135e-34,1.2062661675792675e-55,2.5085256121521933e-33,-1.6782278801069238e-29,-4.995258623001767e-31,5.234311789484823e-06
28,0.0002607302640543371,1.0,50662.5,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,0.17492032051086426,3300,6.122273906063598e-05,333.50795332365215,-1.306883421179446e-37,0.0,4.824909252755579e-07,1e+30,True,False,True,True,sin_impulse,NH3,-367055.36350592435,72846.617515614,1.0,0.0002607302640543371,0.0,293.15,0.0,1.5759077929702045e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.253025976567348e-06,0.00026073026349363704,6.8319380284731e-21,293.15,-1.7602481992953445e-33,1.5759077930067374e-05,6.791639917709548e-26,-7.138334428155137e-50,7.088761490887565e-61,-3.011760282590651e-70,1.9617035526187448e-36,1.0953918243419343e-58,9.221776519348074e-37,-1.757181487608866e-31,-5.2379560596536356e-33,5.253025976689105e-06
