ID,R_E,ratio,P_amb,alfa_M,T_inf,P_v,mu_L,rho_L,gases,fractions,surfactant,c_L,error_code,success,elapsed_time,steps,collapse_time,T_max,n_NH3,expansion_work,dissipated_acoustic_energy,energy_efficiency,enable_heat_transfer,enable_evaporation,enable_reactions,enable_dissipated_energy,excitation_type,target_specie,p_A,freq,n,R_0,R_dot_0,T_0,c_NH3_0,c_H2_0,c_H_0,c_NH2_0,c_NH_0,c_N_0,c_NNH_0,c_N2H4_0,c_N2H3_0,c_N2H2_0,c_H2NN_0,c_N2_0,R_last,R_dot_last,T_last,c_NH3_last,c_H2_last,c_H_last,c_NH2_last,c_NH_last,c_N_last,c_NNH_last,c_N2H4_last,c_N2H3_last,c_N2H2_last,c_H2NN_last,c_N2_last
276,0.0002968119090983531,1.0,5066.25,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,3.3688690662384033,67533,0.0001941651780820157,5424.76348711365,2.3383524299983178e-11,0.0,5.453701004912615e-05,136.94656809408718,True,False,True,True,sin_impulse,NH3,-322588.6603015715,8828.928403512491,1.0,0.0002968119090983531,0.0,293.15,0.0,1.708143968046039e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.69381322682013e-07,0.0002869435767022703,7.215845366492461e-10,293.1499999978866,2.3628265157521166e-07,1.5360555633791161e-06,3.9960667402354415e-18,1.9873608101203876e-24,6.206517739355792e-29,2.7973717768086025e-17,1.8931078826503773e-28,1.37142086750838e-11,4.109752416394283e-12,1.1891358268103304e-21,1.7195544416088719e-15,5.12011893687578e-07
276,0.000296812188300917,1.0,5066.25,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,3.418571710586548,67040,0.00019416523856565475,5424.759279769878,2.338358943590747e-11,0.0,5.453696857864568e-05,136.94608248870918,True,False,True,True,sin_impulse,NH3,-322588.6603015715,8828.928403512491,1.0,0.000296812188300917,0.0,293.15,0.0,1.70814382767576e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6938127589192e-07,0.00028694385661195846,1.0941798449282744e-09,293.1499999969497,2.3628261827938666e-07,1.5360554414499859e-06,3.996136299123937e-18,1.9873614823199452e-24,6.20652556080282e-29,2.7973713657327374e-17,1.8931371644724658e-28,1.3714187531228201e-11,4.1097463246036155e-12,1.1891338488448799e-21,1.719546422806984e-15,5.12011853054645e-07
276,0.0002968119090983531,1.0,5066.25,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,3.246878147125244,67890,0.00019416519739694335,5424.7595515598405,2.3383534701505836e-11,0.0,5.4536854375999007e-05,136.9461162703167,True,False,True,True,sin_impulse,NH3,-322588.3206922067,8828.928403512491,1.0,0.0002968119090983531,0.0,293.15,0.0,1.708143968046039e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.69381322682013e-07,0.0002869435736806615,-1.065256773903159e-09,293.15000000570643,2.3628276414350317e-07,1.5360554851989562e-06,3.9959841156754064e-18,1.9873608342660396e-24,6.206494721562166e-29,2.7973661944302726e-17,1.8930760732997782e-28,1.3714232484439714e-11,4.109759229719954e-12,1.1891380228154527e-21,1.719570987064922e-15,5.120118676161712e-07
276,0.0002968119090983531,1.0,5066.25,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,3.294187068939209,67344,0.00019416493271966396,5424.7535386515565,2.3383550254926707e-11,0.0,5.453662341033753e-05,136.94544520982407,True,False,True,True,sin_impulse,NH3,-322588.6603015715,8828.945024439494,1.0,0.0002968119090983531,0.0,293.15,0.0,1.708143968046039e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.69381322682013e-07,0.0002869435664215544,2.5441289488925934e-09,293.14999998864,2.3628293923807517e-07,1.5360553399264104e-06,3.995882324431997e-18,1.9873611663507665e-24,6.206466166317659e-29,2.7973587398840036e-17,1.8930369920345796e-28,1.371426900825371e-11,4.109766775841161e-12,1.1891404833725244e-21,1.71959169463004e-15,5.120118191760173e-07
276,0.0002970718130652128,1.0,5066.25,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,3.3617544174194336,67026,0.00019371297195194644,5395.282471805893,2.350553711648553e-11,0.0,5.3543560899836674e-05,133.75402723113942,True,False,True,True,sin_impulse,NH3,-322294.51714330853,8864.705101571364,1.0,0.0002970718130652128,0.0,293.15,0.0,1.7080134144153879e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.693378048051293e-07,0.00028716792678314964,1.7709761372525188e-09,293.149999991658,2.3695930744375445e-07,1.535427394030465e-06,3.632893535627434e-18,1.9887330110146316e-24,6.089087052510041e-29,2.764934105523969e-17,1.7546896853070092e-28,1.3839518683624528e-11,4.1386664350461075e-12,1.1985557326245563e-21,1.8034069215678725e-15,5.118024476218772e-07
276,0.0002973317170320725,1.0,5066.25,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,3.2236883640289307,67135,0.00019326617438046337,5365.79163824315,2.3623726584191662e-11,0.0,5.2574924546282586e-05,130.67726813295843,True,False,True,True,sin_impulse,NH3,-322000.37398504565,8900.481799630237,1.0,0.0002973317170320725,0.0,293.15,0.0,1.7078830890241376e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.69294363008046e-07,0.0002873940763442487,3.822477608379272e-09,293.1499999837479,2.3758901723076257e-07,1.5348336753894475e-06,3.3159092447444795e-18,1.9894493952219982e-24,5.980837155023888e-29,2.7350337172448775e-17,1.6316981503062519e-28,1.3961164491141047e-11,4.166327746382371e-12,1.2075929484825445e-21,1.88562224788414e-15,5.116044869742383e-07
276,0.00029785152496579194,1.0,5066.25,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,3.3011796474456787,67393,0.00019238858561890064,5306.8268074967455,2.3844921932291186e-11,0.0,5.070927685355625e-05,124.87091919324412,True,False,True,True,sin_impulse,NH3,-321412.0876685198,8972.035195747982,1.0,0.00029785152496579194,0.0,293.15,0.0,1.7076231205699117e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.692077068566372e-07,0.0002878532985980915,6.4343666095344445e-09,293.14999997412093,2.3866770884544603e-07,1.5337786667453252e-06,2.807677840774243e-18,1.9889421949239915e-24,5.795764129996608e-29,2.6843144077273312e-17,1.4293646944472936e-28,1.418904450526573e-11,4.216625159770022e-12,1.2240703569439015e-21,2.03952586246046e-15,5.112527162150525e-07
276,0.00029889114083323084,1.0,5066.25,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,3.24341082572937,67410,0.00019069595032199926,5189.130289315411,2.4177169942580588e-11,0.0,4.72456258480771e-05,114.74293101981216,True,False,True,True,sin_impulse,NH3,-320235.5150354681,9115.141987983474,1.0,0.00029889114083323084,0.0,293.15,0.0,1.7071058963614342e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.690352987871448e-07,0.0002888206079433778,6.203787658458241e-09,293.14999997578815,2.3956993798941104e-07,1.5325864802324066e-06,2.2740637161707182e-18,1.9819548427340948e-24,5.610801384784393e-29,2.639932966561097e-17,1.2063829964779175e-28,1.4523141309767285e-11,4.280153028708766e-12,1.2446741231762283e-21,2.232976867855283e-15,5.108551774523827e-07
276,0.00030097037256810854,1.0,5066.25,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,3.0813310146331787,66386,0.00018754978733483528,4953.3882233519735,2.3252653460363415e-11,0.0,4.12584502309767e-05,104.18619749058338,True,False,True,True,sin_impulse,NH3,-317882.3697693647,9401.355572454455,1.0,0.00030097037256810854,0.0,293.15,0.0,1.706082167560957e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.686940558536523e-07,0.0002914331067099112,-6.686190195980076e-09,293.15000002628835,2.2426797006305224e-07,1.5426889896819126e-06,8.191252502059518e-18,1.9102732996168926e-24,7.901192081582532e-29,3.359893945112361e-17,3.2643434458669063e-28,1.3329061976154836e-11,3.8947579273418685e-12,1.1154209156702345e-21,1.0356778049164512e-15,5.142232721218062e-07
276,0.00030097037256810854,1.0,5066.25,0.35,293.15,2338.1,0.001,998.2,11  1,0.25  0.75,1.0,1483.0,0,True,3.2008109092712402,66386,0.00018754978733483528,4953.3882233519735,2.3252653460363415e-11,0.0,4.12584502309767e-05,104.18619749058338,True,False,True,True,sin_impulse,NH3,-317882.3697693647,9401.355572454455,1.0,0.00030097037256810854,0.0,293.15,0.0,1.706082167560957e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.686940558536523e-07,0.0002914331067099112,-6.686190195980076e-09,293.15000002628835,2.2426797006305224e-07,1.5426889896819126e-06,8.191252502059518e-18,1.9102732996168926e-24,7.901192081582532e-29,3.359893945112361e-17,3.2643434458669063e-28,1.3329061976154836e-11,3.8947579273418685e-12,1.1154209156702345e-21,1.0356778049164512e-15,5.142232721218062e-07
